#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
          18      2.533405e+00      2.535475e+00      1.033168e-02
          19      2.510749e+00      2.534173e+00      9.869524e-03
          20      2.468744e+00      2.530902e+00      9.903418e-03
           1      3.593535e+00      3.593535e+00      0.000000e+00
           2      3.587566e+00      3.590551e+00      2.110442e-03
           3      3.615966e+00      3.599023e+00      7.058830e-03
           4      3.576083e+00      3.593288e+00      7.259084e-03
           5      3.627508e+00      3.600132e+00      8.437809e-03
           6      3.497498e+00      3.583026e+00      1.712527e-02
           7      3.543302e+00      3.577351e+00      1.559075e-02
           8      3.519486e+00      3.570118e+00      1.522761e-02
           9      3.416631e+00      3.553064e+00      2.101765e-02
          10      3.597542e+00      3.557512e+00      1.938079e-02
          11      3.677311e+00      3.568403e+00      2.045124e-02
          12      3.610803e+00      3.571936e+00      1.904976e-02
          13      3.447745e+00      3.562383e+00      1.983567e-02
          14      3.691785e+00      3.571626e+00      2.045932e-02
          15      3.561154e+00      3.570928e+00      1.910728e-02
          16      3.512077e+00      3.567249e+00      1.826367e-02
          17      3.566840e+00      3.567225e+00      1.718935e-02
          18      3.580289e+00      3.567951e+00      1.624970e-02
          19      3.633763e+00      3.571415e+00      1.575930e-02
          20      3.605477e+00      3.573118e+00      1.506308e-02
           1      5.521804e+00      5.521804e+00      0.000000e+00
           2      5.717702e+00      5.619753e+00      6.926047e-02
           3      5.682775e+00      5.640760e+00      4.925656e-02
           4      5.417807e+00      5.585022e+00      6.078488e-02
           5      5.540807e+00      5.576179e+00      4.926693e-02
           6      5.422556e+00      5.550575e+00      4.724268e-02
           7      5.621549e+00      5.560714e+00      4.156751e-02
           8      5.459135e+00      5.548017e+00      3.826177e-02
           9      5.663964e+00      5.560900e+00      3.611429e-02
          10      5.617022e+00      5.566512e+00      3.293604e-02
          11      5.739396e+00      5.582229e+00      3.348246e-02
          12      5.672920e+00      5.589786e+00      3.153367e-02
          13      5.349731e+00      5.571321e+00      3.408859e-02
          14      5.703495e+00      5.580762e+00      3.293512e-02
          15      5.532007e+00      5.577511e+00      3.089941e-02
          16      5.583862e+00      5.577908e+00      2.897075e-02
          17      5.917015e+00      5.597856e+00      3.343592e-02
          18      5.625927e+00      5.599415e+00      3.161472e-02
          19      5.640116e+00      5.601557e+00      3.002327e-02
          20      5.799502e+00      5.611455e+00      3.010927e-02
           1      1.086446e+01      1.086446e+01      0.000000e+00
           2      1.063719e+01      1.075082e+01      8.035247e-02
           3      1.084226e+01      1.078130e+01      5.906706e-02
           4      1.090672e+01      1.081266e+01      5.196051e-02
           5      1.050158e+01      1.075044e+01      6.945868e-02
           6      1.029497e+01      1.067453e+01      9.029166e-02
           7      1.024058e+01      1.061254e+01      9.635243e-02
           8      1.019212e+01      1.055998e+01      9.759337e-02
           9      1.026947e+01      1.052771e+01      9.193303e-02
          10      9.937987e+00      1.046873e+01      9.987879e-02
          11      1.011862e+01      1.043691e+01      9.573602e-02
          12      1.001921e+01      1.040210e+01      9.387279e-02
          13      9.697462e+00      1.034789e+01      1.010963e-01
          14      1.003140e+01      1.032529e+01      9.636965e-02
          15      1.051987e+01      1.033826e+01      9.081390e-02
          16      1.078654e+01      1.036628e+01      8.935545e-02
          17      1.060797e+01      1.038049e+01      8.522278e-02
          18      9.921116e+00      1.035497e+01      8.422283e-02
          19      1.016194e+01      1.034481e+01      8.040047e-02
          20      1.063520e+01      1.035933e+01      7.768035e-02
           1      2.363218e+01      2.363218e+01      0.000000e+00
           2      2.340205e+01      2.351711e+01      8.136375e-02
           3      2.556851e+01      2.420091e+01      5.609499e-01
           4      2.417452e+01      2.419431e+01      4.207512e-01
           5      2.531806e+01      2.441906e+01      3.920583e-01
           6      2.465387e+01      2.445820e+01      3.286627e-01
           7      2.648286e+01      2.474744e+01      3.886751e-01
           8      2.359435e+01      2.460330e+01      3.658414e-01
           9      2.659867e+01      2.482501e+01      3.865783e-01
          10      2.476441e+01      2.481895e+01      3.479680e-01
          11      2.432670e+01      2.477420e+01      3.191990e-01
          12      2.504671e+01      2.479691e+01      2.934058e-01
