#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
          18      2.945584e-01      2.942544e-01      9.221137e-04
          19      2.973239e-01      2.944160e-01      8.876200e-04
          20      2.926471e-01      2.943275e-01      8.476339e-04
           1      3.434295e-01      3.434295e-01      0.000000e+00
           2      3.412213e-01      3.423254e-01      7.807271e-04
           3      3.415250e-01      3.420586e-01      5.642387e-04
           4      3.525339e-01      3.446774e-01      2.307117e-03
           5      3.474593e-01      3.452338e-01      1.911604e-03
           6      3.381502e-01      3.440532e-01      1.923326e-03
           7      3.465275e-01      3.444067e-01      1.680732e-03
           8      3.370075e-01      3.434818e-01      1.706250e-03
           9      3.410342e-01      3.432098e-01      1.538187e-03
          10      3.550934e-01      3.443982e-01      1.785345e-03
          11      3.488163e-01      3.447998e-01      1.667608e-03
          12      3.580361e-01      3.459029e-01      1.857961e-03
          13      3.497676e-01      3.462001e-01      1.738662e-03
          14      3.456189e-01      3.461586e-01      1.614967e-03
          15      3.408716e-01      3.458062e-01      1.545287e-03
          16      3.443633e-01      3.457160e-01      1.451336e-03
          17      3.526913e-01      3.461263e-01      1.422782e-03
          18      3.493571e-01      3.463058e-01      1.355014e-03
          19      3.346656e-01      3.456931e-01      1.415434e-03
          20      3.458673e-01      3.457018e-01      1.344689e-03
           1      3.986261e-01      3.986261e-01      0.000000e+00
           2      3.976869e-01      3.981565e-01      3.320246e-04
           3      3.868673e-01      3.943934e-01      3.080489e-03
           4      3.929756e-01      3.940390e-01      2.330669e-03
           5      4.031940e-01      3.958700e-01      2.481648e-03
           6      4.039952e-01      3.972242e-01      2.409356e-03
           7      3.903835e-01      3.962470e-01      2.254655e-03
           8      4.017233e-01      3.969315e-01      2.074139e-03
           9      3.929894e-01      3.964935e-01      1.889362e-03
          10      3.922795e-01      3.960721e-01      1.746787e-03
          11      4.096152e-01      3.973033e-01      1.974774e-03
          12      3.903387e-01      3.967229e-01      1.893576e-03
          13      3.869152e-01      3.959685e-01      1.892248e-03
          14      3.963396e-01      3.959950e-01      1.757273e-03
          15      3.945842e-01      3.959009e-01      1.642637e-03
          16      3.885082e-01      3.954389e-01      1.603639e-03
          17      4.003515e-01      3.957279e-01      1.535124e-03
          18      3.988258e-01      3.959000e-01      1.459455e-03
          19      3.892238e-01      3.955486e-01      1.424313e-03
          20      3.758703e-01      3.945647e-01      1.658479e-03
           1      4.420275e-01      4.420275e-01      0.000000e+00
           2      4.474385e-01      4.447330e-01      1.913067e-03
           3      4.362725e-01      4.419128e-01      2.632273e-03
           4      4.478806e-01      4.434048e-01      2.359427e-03
           5      4.426583e-01      4.432555e-01      1.892259e-03
           6      4.367049e-01      4.421637e-01      1.865438e-03
           7      4.315946e-01      4.406538e-01      2.123837e-03
           8      4.461253e-01      4.413378e-01      1.965398e-03
           9      4.343452e-01      4.405608e-01      1.894378e-03
          10      4.279339e-01      4.392981e-01      2.083690e-03
          11      4.402489e-01      4.393846e-01      1.896055e-03
          12      4.355174e-01      4.390623e-01      1.765225e-03
          13      4.281254e-01      4.382210e-01      1.818903e-03
          14      4.463883e-01      4.388044e-01      1.780078e-03
          15      4.392617e-01      4.388349e-01      1.661667e-03
          16      4.382619e-01      4.387991e-01      1.558199e-03
          17      4.214972e-01      4.377813e-01      1.767948e-03
          18      4.306441e-01      4.373848e-01      1.713615e-03
          19      4.444513e-01      4.377567e-01      1.663297e-03
          20      4.333847e-01      4.375381e-01      1.594432e-03
           1      4.215448e-01      4.215448e-01      0.000000e+00
           2      4.226457e-01      4.220952e-01      3.892100e-04
           3      4.223232e-01      4.221712e-01      2.667893e-04
           4      4.429931e-01      4.273767e-01      4.512505e-03
           5      4.352562e-01      4.289526e-01      3.875420e-03
           6      4.342588e-01      4.298370e-01      3.328895e-03
           7      4.291351e-01      4.297367e-01      2.854848e-03
           8      4.262426e-01      4.292999e-01      2.531181e-03
           9      4.308961e-01      4.294773e-01      2.256143e-03
          10      4.473159e-01      4.312611e-01      2.643291e-03
          11      4.685425e-01      4.346504e-01      4.027017e-03
          12      4.426504e-01      4.353170e-01      3.746210e-03
          13      4.450736e-01      4.360675e-01      3.532416e-03
          14      4.214984e-01      4.350269e-01      3.429965e-03
          15      4.404824e-01      4.353906e-01      3.220526e-03
          16      4.191518e-01      4.343757e-01      3.175141e-03
          17      4.491329e-01      4.352437e-01      3.104765e-03
          18      4.645505e-01      4.368719e-01      3.331947e-03
          19      4.517991e-01      4.376575e-01      3.247885e-03
          20      4.625303e-01      4.389012e-01      3.315051e-03
           1      2.763874e-01      2.763874e-01      0.000000e+00
           2      3.452617e-01      3.108245e-01      2.435072e-02
           3      3.434998e-01      3.217163e-01      1.851009e-02
           4      3.086307e-01      3.184449e-01      1.416870e-02
           5      3.534625e-01      3.254484e-01      1.295071e-02
           6      3.300524e-01      3.262157e-01      1.081496e-02
           7      2.916678e-01      3.212803e-01      1.033494e-02
           8      3.329817e-01      3.227430e-01      9.145992e-03
           9      3.151222e-01      3.218962e-01      8.168874e-03
          10      3.989584e-01      3.296025e-01      1.036817e-02
          11      3.096684e-01      3.277903e-01      9.582668e-03
          12      3.810381e-01      3.322276e-01      9.757540e-03
          13      3.588095e-01      3.342723e-01      9.218719e-03
          14      3.209718e-01      3.333223e-01      8.609053e-03
          15      3.019644e-01      3.312318e-01      8.285049e-03
          16      3.490087e-01      3.323428e-01      7.841378e-03
          17      3.069691e-01      3.308503e-01      7.520832e-03
          18      2.774652e-01      3.278844e-01      7.665523e-03
          19      3.366719e-01      3.283469e-01      7.276013e-03
          20      3.667476e-01      3.302670e-01      7.161067e-03
