#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          10     -5.833160e-01     -5.827672e-01      3.150415e-04
          11     -5.839360e-01     -5.828735e-01      3.037917e-04
          12     -5.820440e-01     -5.828043e-01      2.862312e-04
          13     -5.821920e-01     -5.827572e-01      2.680611e-04
          14     -5.824920e-01     -5.827383e-01      2.495824e-04
          15     -5.823080e-01     -5.827096e-01      2.345863e-04
          16     -5.847880e-01     -5.828395e-01      2.533500e-04
          17     -5.832360e-01     -5.828628e-01      2.395183e-04
          18     -5.836760e-01     -5.829080e-01      2.304328e-04
          19     -5.846760e-01     -5.830011e-01      2.363472e-04
          20     -5.828000e-01     -5.829910e-01      2.247436e-04
           1     -6.472720e-01     -6.472720e-01      0.000000e+00
           2     -6.450120e-01     -6.461420e-01      7.990307e-04
           3     -6.488440e-01     -6.470427e-01      9.080506e-04
           4     -6.458680e-01     -6.467490e-01      7.269751e-04
           5     -6.463400e-01     -6.466672e-01      5.861641e-04
           6     -6.461680e-01     -6.465840e-01      4.943395e-04
           7     -6.468360e-01     -6.466200e-01      4.250284e-04
           8     -6.470560e-01     -6.466745e-01      3.753778e-04
           9     -6.449400e-01     -6.464818e-01      3.799343e-04
          10     -6.472720e-01     -6.465608e-01      3.500623e-04
          11     -6.456080e-01     -6.464742e-01      3.287801e-04
          12     -6.461040e-01     -6.464433e-01      3.028255e-04
          13     -6.472840e-01     -6.465080e-01      2.863526e-04
          14     -6.472000e-01     -6.465574e-01      2.701312e-04
          15     -6.472760e-01     -6.466053e-01      2.563350e-04
          16     -6.452040e-01     -6.465178e-01      2.548377e-04
          17     -6.434400e-01     -6.463367e-01      2.972804e-04
          18     -6.450960e-01     -6.462678e-01      2.886451e-04
          19     -6.451520e-01     -6.462091e-01      2.793632e-04
          20     -6.449240e-01     -6.461448e-01      2.726839e-04
           1     -7.222560e-01     -7.222560e-01      0.000000e+00
           2     -7.205440e-01     -7.214000e-01      6.052834e-04
           3     -7.217120e-01     -7.215040e-01      4.123601e-04
           4     -7.206240e-01     -7.212840e-01      3.632465e-04
           5     -7.180040e-01     -7.206280e-01      6.547637e-04
           6     -7.188880e-01     -7.203380e-01      6.064672e-04
           7     -7.193680e-01     -7.201994e-01      5.354261e-04
           8     -7.186520e-01     -7.200060e-01      5.022231e-04
           9     -7.188440e-01     -7.198769e-01      4.627189e-04
          10     -7.207720e-01     -7.199664e-01      4.250166e-04
          11     -7.179720e-01     -7.197851e-01      4.232884e-04
          12     -7.221640e-01     -7.199833e-01      4.319493e-04
          13     -7.210640e-01     -7.200665e-01      4.066427e-04
          14     -7.216800e-01     -7.201817e-01      3.935908e-04
          15     -7.192920e-01     -7.201224e-01      3.717939e-04
          16     -7.221960e-01     -7.202520e-01      3.704568e-04
          17     -7.230680e-01     -7.204176e-01      3.839171e-04
          18     -7.220240e-01     -7.205069e-01      3.728163e-04
          19     -7.209720e-01     -7.205314e-01      3.539971e-04
          20     -7.235240e-01     -7.206810e-01      3.665597e-04
           1     -8.065080e-01     -8.065080e-01      0.000000e+00
           2     -8.061560e-01     -8.063320e-01      1.244508e-04
           3     -8.058160e-01     -8.061600e-01      1.631141e-04
           4     -8.078800e-01     -8.065900e-01      3.919707e-04
           5     -8.080880e-01     -8.068896e-01      4.124783e-04
           6     -8.059280e-01     -8.067293e-01      3.735721e-04
           7     -8.045440e-01     -8.064171e-01      4.313591e-04
           8     -8.039560e-01     -8.061095e-01      4.746303e-04
           9     -8.049080e-01     -8.059760e-01      4.402684e-04
          10     -8.034800e-01     -8.057264e-01      4.616032e-04
          11     -8.040160e-01     -8.055709e-01      4.450580e-04
