#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          10     -5.822800e-01     -5.827044e-01      4.252004e-04
          11     -5.824680e-01     -5.826829e-01      3.870885e-04
          12     -5.845080e-01     -5.828350e-01      3.835481e-04
          13     -5.836240e-01     -5.828957e-01      3.588142e-04
          14     -5.833000e-01     -5.829246e-01      3.343448e-04
          15     -5.802360e-01     -5.827453e-01      3.568794e-04
          16     -5.836480e-01     -5.828018e-01      3.390044e-04
          17     -5.820880e-01     -5.827598e-01      3.216524e-04
          18     -5.843400e-01     -5.828476e-01      3.155361e-04
          19     -5.829720e-01     -5.828541e-01      2.989969e-04
          20     -5.827280e-01     -5.828478e-01      2.841136e-04
           1     -6.469040e-01     -6.469040e-01      0.000000e+00
           2     -6.474400e-01     -6.471720e-01      1.895046e-04
           3     -6.437880e-01     -6.460440e-01      9.296327e-04
           4     -6.472240e-01     -6.463390e-01      7.425569e-04
           5     -6.473920e-01     -6.465496e-01      6.231950e-04
           6     -6.451520e-01     -6.463167e-01      5.611753e-04
           7     -6.457840e-01     -6.462406e-01      4.861393e-04
           8     -6.459640e-01     -6.462060e-01      4.265993e-04
           9     -6.457600e-01     -6.461564e-01      3.820669e-04
          10     -6.470600e-01     -6.462468e-01      3.543833e-04
          11     -6.464400e-01     -6.462644e-01      3.226016e-04
          12     -6.465560e-01     -6.462887e-01      2.966321e-04
          13     -6.470520e-01     -6.463474e-01      2.795655e-04
          14     -6.486920e-01     -6.465149e-01      3.056698e-04
          15     -6.467560e-01     -6.465309e-01      2.857143e-04
          16     -6.486840e-01     -6.466655e-01      2.978655e-04
          17     -6.460680e-01     -6.466304e-01      2.824100e-04
          18     -6.457080e-01     -6.465791e-01      2.713295e-04
          19     -6.451400e-01     -6.465034e-01      2.674121e-04
          20     -6.460360e-01     -6.464800e-01      2.550605e-04
           1     -7.230120e-01     -7.230120e-01      0.000000e+00
           2     -7.201360e-01     -7.215740e-01      1.016820e-03
           3     -7.210560e-01     -7.214013e-01      6.923848e-04
           4     -7.217760e-01     -7.214950e-01      5.255861e-04
           5     -7.177240e-01     -7.207408e-01      7.948888e-04
           6     -7.229320e-01     -7.211060e-01      7.415700e-04
           7     -7.227240e-01     -7.213371e-01      6.706876e-04
           8     -7.193600e-01     -7.210900e-01      6.307452e-04
           9     -7.224040e-01     -7.212360e-01      5.773126e-04
          10     -7.191560e-01     -7.210280e-01      5.557899e-04
          11     -7.229720e-01     -7.212047e-01      5.326204e-04
          12     -7.206880e-01     -7.211617e-01      4.899729e-04
          13     -7.201800e-01     -7.210862e-01      4.580646e-04
          14     -7.186120e-01     -7.209094e-01      4.581702e-04
          15     -7.208280e-01     -7.209040e-01      4.276577e-04
          16     -7.222040e-01     -7.209853e-01      4.085745e-04
          17     -7.216040e-01     -7.210216e-01      3.861584e-04
          18     -7.219520e-01     -7.210733e-01      3.681480e-04
          19     -7.218280e-01     -7.211131e-01      3.509079e-04
          20     -7.232160e-01     -7.212182e-01      3.487603e-04
           1     -8.061400e-01     -8.061400e-01      0.000000e+00
           2     -8.030600e-01     -8.046000e-01      1.088944e-03
           3     -8.077200e-01     -8.056400e-01      1.117179e-03
           4     -8.073240e-01     -8.060610e-01      9.137728e-04
           5     -8.031320e-01     -8.054752e-01      8.993981e-04
           6     -8.037280e-01     -8.051840e-01      7.952436e-04
           7     -8.027800e-01     -8.048406e-01      7.521461e-04
           8     -8.032640e-01     -8.046435e-01      6.834579e-04
           9     -8.052240e-01     -8.047080e-01      6.105541e-04
          10     -8.088080e-01     -8.051180e-01      6.732301e-04
          11     -8.027120e-01     -8.048993e-01      6.465833e-04
          12     -7.998160e-01     -8.044757e-01      7.181806e-04
          13     -8.066120e-01     -8.046400e-01      6.814780e-04
          14     -8.109200e-01     -8.050886e-01      7.663425e-04
          15     -8.036360e-01     -8.049917e-01      7.213455e-04
          16     -8.030160e-01     -8.048683e-01      6.867493e-04
          17     -8.049360e-01     -8.048722e-01      6.463638e-04
          18     -8.021920e-01     -8.047233e-01      6.273715e-04
          19     -8.035520e-01     -8.046617e-01      5.973733e-04
          20     -7.990400e-01     -8.043806e-01      6.301741e-04
           1     -8.885240e-01     -8.885240e-01      0.000000e+00
           2     -8.907560e-01     -8.896400e-01      7.891312e-04
           3     -8.903920e-01     -8.898907e-01      5.644973e-04
           4     -8.927440e-01     -8.906040e-01      7.489179e-04
           5     -8.949480e-01     -8.914728e-01      9.812302e-04
           6     -8.904960e-01     -8.913100e-01      8.310875e-04
           7     -8.927800e-01     -8.915200e-01      7.384157e-04
           8     -8.903520e-01     -8.913740e-01      6.603897e-04
           9     -8.907360e-01     -8.913031e-01      5.908055e-04
          10     -8.903760e-01     -8.912104e-01      5.389501e-04
          11     -8.921320e-01     -8.912942e-01      4.964241e-04
          12     -9.010200e-01     -8.921047e-01      8.995669e-04
          13     -8.859120e-01     -8.916283e-01      9.481435e-04
          14     -8.911360e-01     -8.915931e-01      8.810708e-04
          15     -8.917840e-01     -8.916059e-01      8.224246e-04
          16     -8.944960e-01     -8.917865e-01      7.906110e-04
          17     -8.929640e-01     -8.918558e-01      7.471324e-04
          18     -8.886880e-01     -8.916798e-01      7.260561e-04
          19     -8.922440e-01     -8.917095e-01      6.884497e-04
          20     -8.852720e-01     -8.913876e-01      7.253786e-04
           1     -9.744360e-01     -9.744360e-01      0.000000e+00
           2     -9.745960e-01     -9.745160e-01      5.656854e-05
           3     -9.729960e-01     -9.740093e-01      4.154070e-04
           4     -9.693160e-01     -9.728360e-01      1.062826e-03
           5     -9.786840e-01     -9.740056e-01      1.348078e-03
           6     -9.712360e-01     -9.735440e-01      1.199828e-03
           7     -9.700960e-01     -9.730514e-01      1.124998e-03
           8     -9.705240e-01     -9.727355e-01      1.027777e-03
           9     -9.683200e-01     -9.722449e-01      1.024003e-03
          10     -9.707600e-01     -9.720964e-01      9.323068e-04
          11     -9.748240e-01     -9.723444e-01      8.799092e-04
          12     -9.755160e-01     -9.726087e-01      8.453470e-04
          13     -9.755000e-01     -9.728311e-01      8.090494e-04
          14     -9.799880e-01     -9.733423e-01      8.983649e-04
          15     -9.775800e-01     -9.736248e-01      8.817777e-04
          16     -9.803640e-01     -9.740460e-01      9.217912e-04
          17     -9.765360e-01     -9.741925e-01      8.791281e-04
          18     -9.746520e-01     -9.742180e-01      8.306582e-04
          19     -9.794400e-01     -9.744928e-01      8.311655e-04
          20     -9.826640e-01     -9.749014e-01      8.843377e-04
