#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
          18      2.565533e+00      2.541761e+00      1.296220e-02
          19      2.541064e+00      2.541724e+00      1.228003e-02
          20      2.442949e+00      2.536785e+00      1.262014e-02
           1      3.742729e+00      3.742729e+00      0.000000e+00
           2      3.477483e+00      3.610106e+00      9.377868e-02
           3      3.443015e+00      3.554409e+00      7.730937e-02
           4      3.678542e+00      3.585442e+00      6.390778e-02
           5      3.483803e+00      3.565114e+00      5.426295e-02
           6      3.556775e+00      3.563725e+00      4.523692e-02
           7      3.581357e+00      3.566244e+00      3.884457e-02
           8      3.676083e+00      3.579973e+00      3.633455e-02
           9      3.593926e+00      3.581524e+00      3.233043e-02
          10      3.460135e+00      3.569385e+00      3.129336e-02
          11      3.457828e+00      3.559243e+00      3.004694e-02
          12      3.672612e+00      3.568691e+00      2.899025e-02
          13      3.565194e+00      3.568422e+00      2.676148e-02
          14      3.718923e+00      3.579172e+00      2.692266e-02
          15      3.541049e+00      3.576630e+00      2.524749e-02
          16      3.659255e+00      3.581794e+00      2.419188e-02
          17      3.697255e+00      3.588586e+00      2.370306e-02
          18      3.562994e+00      3.587164e+00      2.242882e-02
          19      3.454951e+00      3.580206e+00      2.230172e-02
          20      3.650271e+00      3.583709e+00      2.146002e-02
           1      5.554702e+00      5.554702e+00      0.000000e+00
           2      5.611015e+00      5.582858e+00      1.990956e-02
           3      5.645040e+00      5.603585e+00      2.150783e-02
           4      5.535229e+00      5.586496e+00      2.189139e-02
           5      5.517004e+00      5.572598e+00      2.147661e-02
           6      5.888920e+00      5.625318e+00      5.134692e-02
           7      6.028000e+00      5.682844e+00      6.909062e-02
           8      5.415349e+00      5.649407e+00      6.806610e-02
           9      5.970535e+00      5.685088e+00      6.922644e-02
          10      5.597251e+00      5.676304e+00      6.285858e-02
          11      6.078196e+00      5.712840e+00      6.692502e-02
          12      5.584956e+00      5.702183e+00      6.219064e-02
          13      5.525847e+00      5.688619e+00      5.886740e-02
          14      5.380451e+00      5.666607e+00      5.863375e-02
          15      5.757360e+00      5.672657e+00      5.503610e-02
          16      5.641796e+00      5.670728e+00      5.163013e-02
          17      5.429335e+00      5.656529e+00      5.050797e-02
          18      5.644240e+00      5.655846e+00      4.770658e-02
          19      5.756436e+00      5.661140e+00      4.548853e-02
          20      5.865135e+00      5.671340e+00      4.434288e-02
           1      1.056160e+01      1.056160e+01      0.000000e+00
           2      1.027546e+01      1.041853e+01      1.011666e-01
           3      1.054710e+01      1.046139e+01      7.598203e-02
           4      1.006477e+01      1.036223e+01      1.030590e-01
           5      9.933467e+00      1.027648e+01      1.126074e-01
           6      9.881222e+00      1.021060e+01      1.114551e-01
           7      1.017144e+01      1.020501e+01      9.567326e-02
           8      1.030276e+01      1.021723e+01      8.449070e-02
           9      9.692631e+00      1.015894e+01      9.306165e-02
          10      1.088124e+01      1.023117e+01      1.082146e-01
          11      9.066822e+00      1.012532e+01      1.409383e-01
          12      9.669049e+00      1.008730e+01      1.342243e-01
          13      1.067496e+01      1.013250e+01      1.312912e-01
          14      1.100260e+01      1.019465e+01      1.358290e-01
          15      9.911102e+00      1.017575e+01      1.280824e-01
          16      1.037942e+01      1.018848e+01      1.207081e-01
          17      9.324209e+00      1.013764e+01      1.238519e-01
          18      1.018063e+01      1.014003e+01      1.169943e-01
          19      1.027763e+01      1.014727e+01      1.110606e-01
          20      9.451916e+00      1.011250e+01      1.108160e-01
           1      2.363779e+01      2.363779e+01      0.000000e+00
           2      2.498536e+01      2.431157e+01      4.764384e-01
           3      2.589959e+01      2.484091e+01      5.363642e-01
           4      2.650345e+01      2.525655e+01      5.398025e-01
           5      2.758197e+01      2.572163e+01      5.996087e-01
           6      2.346475e+01      2.534549e+01      6.062830e-01
           7      2.566018e+01      2.539044e+01      5.213353e-01
           8      2.311973e+01      2.510660e+01      5.278105e-01
           9      2.473224e+01      2.506501e+01      4.708011e-01
          10      2.250378e+01      2.480888e+01      4.884450e-01
          11      2.549137e+01      2.487093e+01      4.479641e-01
          12      3.054914e+01      2.534411e+01      6.114451e-01
          13      2.215044e+01      2.509845e+01      6.117757e-01
          14      2.434238e+01      2.504444e+01      5.704561e-01
          15      2.308440e+01      2.491377e+01      5.471867e-01
          16      2.483646e+01      2.490894e+01      5.130089e-01
          17      2.517983e+01      2.492487e+01      4.830793e-01
          18      2.241165e+01      2.478525e+01      4.759917e-01
          19      2.340757e+01      2.471274e+01      4.564289e-01
          20      1.945480e+01      2.444984e+01      5.036611e-01
           1      7.921153e+01      7.921153e+01      0.000000e+00
           2      7.847350e+01      7.884251e+01      2.609337e-01
           3      7.833274e+01      7.867259e+01      2.225079e-01
           4      7.284490e+01      7.721567e+01      1.272719e+00
           5      8.351022e+01      7.847458e+01      1.518080e+00
           6      7.650806e+01      7.814683e+01      1.299966e+00
           7      7.406438e+01      7.756362e+01      1.238188e+00
           8      7.623169e+01      7.739713e+01      1.094551e+00
           9      7.471046e+01      7.709861e+01      1.012824e+00
          10      7.623697e+01      7.701244e+01      9.151991e-01
          11      8.051678e+01      7.733102e+01      8.857125e-01
          12      7.924840e+01      7.749080e+01      8.261896e-01
          13      8.017650e+01      7.769739e+01      7.880429e-01
          14      8.513501e+01      7.822865e+01      8.930508e-01
          15      8.070237e+01      7.839357e+01      8.486044e-01
          16      8.378388e+01      7.873046e+01      8.598433e-01
          17      8.237706e+01      7.894497e+01      8.355926e-01
          18      7.922960e+01      7.896078e+01      7.893204e-01
          19      8.430814e+01      7.924222e+01      7.963733e-01
          20      8.687418e+01      7.962382e+01      8.430369e-01
