#        BLOCK:          R:        ACTUAL_GOFR:          GOFR_AVE:           ERROR: 
           1      2.308468e+00      1.011293e+00      1.011293e+00      0.000000e+00
           1      2.334117e+00      9.855084e-01      9.855084e-01      0.000000e+00
           1      2.359767e+00      9.606349e-01      9.606349e-01      0.000000e+00
           1      2.385416e+00      9.446542e-01      9.446542e-01      0.000000e+00
           1      2.411066e+00      9.311329e-01      9.311329e-01      0.000000e+00
           1      2.436716e+00      9.194100e-01      9.194100e-01      0.000000e+00
           1      2.462365e+00      9.095267e-01      9.095267e-01      0.000000e+00
           1      2.488015e+00      8.943272e-01      8.943272e-01      0.000000e+00
           1      2.513665e+00      8.814472e-01      8.814472e-01      0.000000e+00
           1      2.539314e+00      8.870035e-01      8.870035e-01      0.000000e+00
           2      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.564964e-02      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.129928e-02      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.694892e-02      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.025986e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.282482e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.538978e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.795475e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.051971e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.308468e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.564964e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.821460e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.077957e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.334453e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.590949e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.847446e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.103942e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.360439e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.616935e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.873431e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.129928e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.386424e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.642921e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.899417e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.155913e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.412410e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.668906e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.925403e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.181899e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.438395e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.694892e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.951388e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      8.207885e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      8.464381e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      8.720877e-01      9.858310e-04      1.134852e-03      1.053737e-04
           2      8.977374e-01      2.353676e-02      2.284387e-02      4.899505e-04
           2      9.233870e-01      1.649072e-01      1.635655e-01      9.486719e-04
           2      9.490367e-01      5.616980e-01      5.578655e-01      2.709982e-03
           2      9.746863e-01      1.191669e+00      1.186560e+00      3.612474e-03
           2      1.000336e+00      1.853413e+00      1.857567e+00      2.937202e-03
           2      1.025986e+00      2.332749e+00      2.338755e+00      4.246809e-03
           2      1.051635e+00      2.545348e+00      2.540983e+00      3.086683e-03
           2      1.077285e+00      2.534716e+00      2.538070e+00      2.371607e-03
           2      1.102934e+00      2.410221e+00      2.411187e+00      6.832266e-04
           2      1.128584e+00      2.206062e+00      2.207660e+00      1.130335e-03
           2      1.154234e+00      1.970900e+00      1.966372e+00      3.201652e-03
           2      1.179883e+00      1.761268e+00      1.763931e+00      1.882987e-03
           2      1.205533e+00      1.558369e+00      1.562596e+00      2.989039e-03
           2      1.231183e+00      1.386485e+00      1.393991e+00      5.307537e-03
           2      1.256832e+00      1.254521e+00      1.251692e+00      2.000305e-03
           2      1.282482e+00      1.125975e+00      1.123171e+00      1.982403e-03
           2      1.308132e+00      1.021433e+00      1.025333e+00      2.757393e-03
           2      1.333781e+00      9.411812e-01      9.443544e-01      2.243799e-03
           2      1.359431e+00      8.765134e-01      8.762703e-01      1.719126e-04
           2      1.385081e+00      8.183400e-01      8.173018e-01      7.341095e-04
           2      1.410730e+00      7.784588e-01      7.739892e-01      3.160466e-03
           2      1.436380e+00      7.407095e-01      7.389827e-01      1.221042e-03
           2      1.462029e+00      7.178198e-01      7.164373e-01      9.775878e-04
           2      1.487679e+00      6.852601e-01      6.915158e-01      4.423421e-03
           2      1.513329e+00      6.787002e-01      6.801262e-01      1.008359e-03
           2      1.538978e+00      6.756702e-01      6.800914e-01      3.126235e-03
           2      1.564628e+00      6.696341e-01      6.712864e-01      1.168324e-03
           2      1.590278e+00      6.812332e-01      6.805207e-01      5.038700e-04
           2      1.615927e+00      6.890208e-01      6.866081e-01      1.706046e-03
           2      1.641577e+00      6.985862e-01      7.017807e-01      2.258856e-03
           2      1.667227e+00      7.252136e-01      7.240083e-01      8.523261e-04
           2      1.692876e+00      7.415369e-01      7.416510e-01      8.072497e-05
           2      1.718526e+00      7.747896e-01      7.775088e-01      1.922773e-03
           2      1.744175e+00      8.091428e-01      8.088026e-01      2.405773e-04
           2      1.769825e+00      8.459242e-01      8.451643e-01      5.373197e-04
           2      1.795475e+00      8.845411e-01      8.846015e-01      4.270658e-05
           2      1.821124e+00      9.340484e-01      9.315262e-01      1.783488e-03
           2      1.846774e+00      9.743958e-01      9.722620e-01      1.508852e-03
           2      1.872424e+00      1.014045e+00      1.014606e+00      3.964872e-04
           2      1.898073e+00      1.061554e+00      1.057682e+00      2.737910e-03
           2      1.923723e+00      1.095373e+00      1.089660e+00      4.040264e-03
           2      1.949373e+00      1.132379e+00      1.127817e+00      3.226409e-03
           2      1.975022e+00      1.166973e+00      1.161985e+00      3.527610e-03
           2      2.000672e+00      1.193036e+00      1.190159e+00      2.033862e-03
           2      2.026321e+00      1.205845e+00      1.206674e+00      5.862041e-04
           2      2.051971e+00      1.221057e+00      1.217741e+00      2.344989e-03
           2      2.077621e+00      1.223779e+00      1.221338e+00      1.725653e-03
           2      2.103270e+00      1.209231e+00      1.215620e+00      4.517794e-03
           2      2.128920e+00      1.191209e+00      1.196250e+00      3.564719e-03
           2      2.154570e+00      1.174773e+00      1.180149e+00      3.801096e-03
           2      2.180219e+00      1.149754e+00      1.153875e+00      2.914201e-03
           2      2.205869e+00      1.121985e+00      1.128786e+00      4.808537e-03
           2      2.231519e+00      1.090805e+00      1.093297e+00      1.761749e-03
           2      2.257168e+00      1.069586e+00      1.068135e+00      1.026151e-03
           2      2.282818e+00      1.033960e+00      1.038785e+00      3.412350e-03
           2      2.308468e+00      1.013512e+00      1.012402e+00      7.845674e-04
           2      2.334117e+00      9.879694e-01      9.867389e-01      8.700778e-04
           2      2.359767e+00      9.715332e-01      9.660840e-01      3.853141e-03
           2      2.385416e+00      9.490307e-01      9.468425e-01      1.547313e-03
           2      2.411066e+00      9.319427e-01      9.315378e-01      2.863095e-04
           2      2.436716e+00      9.241287e-01      9.217694e-01      1.668317e-03
           2      2.462365e+00      9.092131e-01      9.093699e-01      1.108620e-04
           2      2.488015e+00      8.982399e-01      8.962836e-01      1.383377e-03
           2      2.513665e+00      8.889713e-01      8.852092e-01      2.660144e-03
           2      2.539314e+00      8.901569e-01      8.885802e-01      1.114895e-03
           3      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00
           3      2.564964e-02      0.000000e+00      0.000000e+00      0.000000e+00
           3      5.129928e-02      0.000000e+00      0.000000e+00      0.000000e+00
           3      7.694892e-02      0.000000e+00      0.000000e+00      0.000000e+00
           3      1.025986e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      1.282482e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      1.538978e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      1.795475e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      2.051971e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      2.308468e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      2.564964e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      2.821460e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      3.077957e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      3.334453e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      3.590949e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      3.847446e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      4.103942e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      4.360439e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      4.616935e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      4.873431e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      5.129928e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      5.386424e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      5.642921e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      5.899417e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      6.155913e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      6.412410e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      6.668906e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      6.925403e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      7.181899e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      7.438395e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      7.694892e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      7.951388e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      8.207885e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      8.464381e-01      0.000000e+00      0.000000e+00      0.000000e+00
           3      8.720877e-01      1.536062e-03      1.268589e-03      1.298408e-04
           3      8.977374e-01      2.420800e-02      2.329858e-02      4.945014e-04
           3      9.233870e-01      1.654192e-01      1.641834e-01      8.090257e-04
           3      9.490367e-01      5.666657e-01      5.607989e-01      3.000089e-03
           3      9.746863e-01      1.191117e+00      1.188079e+00      2.708855e-03
           3      1.000336e+00      1.854917e+00      1.856684e+00      2.086711e-03
           3      1.025986e+00      2.331884e+00      2.336465e+00      3.393055e-03
           3      1.051635e+00      2.537030e+00      2.539665e+00      2.322100e-03
           3      1.077285e+00      2.535850e+00      2.537330e+00      1.692672e-03
           3      1.102934e+00      2.412456e+00      2.411610e+00      5.716348e-04
           3      1.128584e+00      2.200012e+00      2.205111e+00      2.213768e-03
           3      1.154234e+00      1.977543e+00      1.970096e+00      3.714839e-03
           3      1.179883e+00      1.752560e+00      1.760140e+00      3.339740e-03
           3      1.205533e+00      1.565227e+00      1.563473e+00      2.117411e-03
           3      1.231183e+00      1.396706e+00      1.394896e+00      3.614674e-03
           3      1.256832e+00      1.251514e+00      1.251632e+00      1.334418e-03
           3      1.282482e+00      1.122979e+00      1.123107e+00      1.322641e-03
           3      1.308132e+00      1.021691e+00      1.024119e+00      2.088519e-03
           3      1.333781e+00      9.349041e-01      9.412043e-01      2.975411e-03
           3      1.359431e+00      8.634897e-01      8.720101e-01      3.480310e-03
           3      1.385081e+00      8.214545e-01      8.186860e-01      1.231646e-03
           3      1.410730e+00      7.784145e-01      7.754643e-01      2.426922e-03
           3      1.436380e+00      7.392733e-01      7.390796e-01      8.178629e-04
           3      1.462029e+00      7.181170e-01      7.169972e-01      7.960696e-04
           3      1.487679e+00      6.976438e-01      6.935585e-01      3.387922e-03
           3      1.513329e+00      6.799027e-01      6.800517e-01      6.749869e-04
           3      1.538978e+00      6.788761e-01      6.796863e-01      2.110239e-03
           3      1.564628e+00      6.735952e-01      6.720560e-01      1.000763e-03
           3      1.590278e+00      6.852922e-01      6.821112e-01      1.341376e-03
           3      1.615927e+00      6.885742e-01      6.872635e-01      1.256947e-03
           3      1.641577e+00      7.031517e-01      7.022377e-01      1.551441e-03
           3      1.667227e+00      7.201886e-01      7.227350e-01      1.184735e-03
           3      1.692876e+00      7.569827e-01      7.467616e-01      4.173106e-03
           3      1.718526e+00      7.834503e-01      7.794893e-01      2.063514e-03
           3      1.744175e+00      8.178840e-01      8.118297e-01      2.476859e-03
           3      1.769825e+00      8.458564e-01      8.453950e-01      4.047186e-04
           3      1.795475e+00      8.925025e-01      8.872352e-01      2.150548e-03
           3      1.821124e+00      9.349719e-01      9.326747e-01      1.514326e-03
           3      1.846774e+00      9.718881e-01      9.721373e-01      1.011033e-03
           3      1.872424e+00      1.008468e+00      1.012560e+00      1.691223e-03
           3      1.898073e+00      1.053869e+00      1.056411e+00      2.099661e-03
           3      1.923723e+00      1.088585e+00      1.089301e+00      2.709347e-03
           3      1.949373e+00      1.127367e+00      1.127667e+00      2.154423e-03
           3      1.975022e+00      1.156868e+00      1.160279e+00      2.733032e-03
           3      2.000672e+00      1.185835e+00      1.188718e+00      1.795475e-03
           3      2.026321e+00      1.202862e+00      1.205403e+00      1.108816e-03
           3      2.051971e+00      1.213258e+00      1.216246e+00      1.983067e-03
           3      2.077621e+00      1.217505e+00      1.220061e+00      1.553034e-03
           3      2.103270e+00      1.211452e+00      1.214231e+00      3.218395e-03
           3      2.128920e+00      1.189404e+00      1.193968e+00      3.019764e-03
           3      2.154570e+00      1.173638e+00      1.177979e+00      3.092152e-03
           3      2.180219e+00      1.156600e+00      1.154784e+00      2.079562e-03
           3      2.205869e+00      1.123681e+00      1.127084e+00      3.493765e-03
           3      2.231519e+00      1.095977e+00      1.094190e+00      1.382620e-03
           3      2.257168e+00      1.072259e+00      1.069510e+00      1.314372e-03
           3      2.282818e+00      1.040358e+00      1.039309e+00      2.314796e-03
           3      2.308468e+00      1.015611e+00      1.013472e+00      1.017948e-03
           3      2.334117e+00      9.910040e-01      9.881606e-01      1.297671e-03
           3      2.359767e+00      9.682289e-01      9.667990e-01      2.634258e-03
           3      2.385416e+00      9.423318e-01      9.453389e-01      1.603501e-03
           3      2.411066e+00      9.287188e-01      9.305981e-01      7.906317e-04
           3      2.436716e+00      9.177314e-01      9.204234e-01      1.563591e-03
           3      2.462365e+00      9.071090e-01      9.086163e-01      6.197598e-04
           3      2.488015e+00      8.993136e-01      8.972936e-01      1.237186e-03
           3      2.513665e+00      8.841840e-01      8.848675e-01      1.795247e-03
           3      2.539314e+00      8.849472e-01      8.873692e-01      1.236986e-03
           4      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00
           4      2.564964e-02      0.000000e+00      0.000000e+00      0.000000e+00
           4      5.129928e-02      0.000000e+00      0.000000e+00      0.000000e+00
           4      7.694892e-02      0.000000e+00      0.000000e+00      0.000000e+00
           4      1.025986e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      1.282482e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      1.538978e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      1.795475e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      2.051971e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      2.308468e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      2.564964e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      2.821460e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      3.077957e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      3.334453e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      3.590949e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      3.847446e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      4.103942e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      4.360439e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      4.616935e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      4.873431e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      5.129928e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      5.386424e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      5.642921e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      5.899417e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      6.155913e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      6.412410e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      6.668906e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      6.925403e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      7.181899e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      7.438395e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      7.694892e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      7.951388e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      8.207885e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      8.464381e-01      0.000000e+00      0.000000e+00      0.000000e+00
           4      8.720877e-01      1.329726e-03      1.283873e-03      9.827605e-05
           4      8.977374e-01      2.596189e-02      2.396441e-02      6.855980e-04
           4      9.233870e-01      1.684097e-01      1.652400e-01      1.097920e-03
           4      9.490367e-01      5.901458e-01      5.681357e-01      6.740429e-03
           4      9.746863e-01      1.234767e+00      1.199751e+00      1.031041e-02
           4      1.000336e+00      1.901475e+00      1.867882e+00      9.823100e-03
           4      1.025986e+00      2.349153e+00      2.339637e+00      3.744672e-03
           4      1.051635e+00      2.565788e+00      2.546196e+00      5.917804e-03
           4      1.077285e+00      2.554115e+00      2.541526e+00      3.849399e-03
           4      1.102934e+00      2.392872e+00      2.406925e+00      4.079508e-03
           4      1.128584e+00      2.192047e+00      2.201845e+00      3.279729e-03
           4      1.154234e+00      1.955346e+00      1.966408e+00      4.238016e-03
           4      1.179883e+00      1.732455e+00      1.753219e+00      6.496370e-03
           4      1.205533e+00      1.539017e+00      1.557359e+00      5.527842e-03
           4      1.231183e+00      1.367958e+00      1.388162e+00      6.431545e-03
           4      1.256832e+00      1.220418e+00      1.243829e+00      6.831726e-03
           4      1.282482e+00      1.102016e+00      1.117835e+00      4.672791e-03
           4      1.308132e+00      1.009488e+00      1.020461e+00      3.533827e-03
           4      1.333781e+00      9.274587e-01      9.377679e-01      3.719748e-03
           4      1.359431e+00      8.553571e-01      8.678469e-01      4.451157e-03
           4      1.385081e+00      8.159236e-01      8.179954e-01      1.100443e-03
           4      1.410730e+00      7.679604e-01      7.735884e-01      2.439790e-03
