#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.77407     1.77407           0
           2     1.80677     1.79042   0.0115614
           3     1.80391     1.79492  0.00853843
           4     1.77173     1.78912  0.00813682
           5     1.74987     1.78127    0.009575
           6     1.76758     1.77899  0.00824651
           7      1.7439     1.77397  0.00845571
           8     1.77403     1.77398  0.00739875
           9     1.78697     1.77542  0.00671601
          10     1.80495     1.77838  0.00666184
          11     1.76023     1.77673  0.00625712
          12      1.7684     1.77603  0.00577402
          13     1.74881     1.77394  0.00569692
          14     1.73963     1.77149   0.0057931
          15      1.7483     1.76994  0.00560938
          16     1.73709     1.76789  0.00562215
          17     1.78095     1.76866   0.0053437
          18     1.80777     1.77083  0.00547069
          19     1.77063     1.77082  0.00518277
          20     1.72358     1.76846  0.00543527
