#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -3.38301    -3.37296  0.00269104
         153    -3.38751    -3.37306  0.00267513
         154    -3.38991    -3.37317     0.00266
         155    -3.38914    -3.37327  0.00264483
         156    -3.38576    -3.37335  0.00262909
         157    -3.38214    -3.37341  0.00261294
         158    -3.37938    -3.37345  0.00259667
         159    -3.37866    -3.37348  0.00258055
         160    -3.37932    -3.37351  0.00256468
         161    -3.38061    -3.37356  0.00254913
         162    -3.38365    -3.37362  0.00253415
         163    -3.38634     -3.3737  0.00251981
         164    -3.38731    -3.37378  0.00250581
         165    -3.38823    -3.37387  0.00249215
         166    -3.38753    -3.37395   0.0024785
         167     -3.3862    -3.37402  0.00246474
         168    -3.38743     -3.3741  0.00245136
         169    -3.38743    -3.37418  0.00243812
         170    -3.38807    -3.37427  0.00242515
         171    -3.38818    -3.37435  0.00241233
         172    -3.38779    -3.37442  0.00239957
         173    -3.38686     -3.3745  0.00238678
         174    -3.38489    -3.37456  0.00237381
         175     -3.3818     -3.3746   0.0023606
         176    -3.37922    -3.37462  0.00234734
         177    -3.37372    -3.37462  0.00233408
         178    -3.36894    -3.37459  0.00232119
         179    -3.36581    -3.37454  0.00230874
         180    -3.36176    -3.37447    0.002297
         181     -3.3578    -3.37437  0.00228615
         182    -3.35202    -3.37425  0.00227689
         183    -3.34672     -3.3741  0.00226941
         184    -3.34013    -3.37392  0.00226458
         185    -3.33305     -3.3737  0.00226308
         186      -3.327    -3.37345   0.0022648
         187    -3.32575    -3.37319    0.002267
         188    -3.33367    -3.37298  0.00226467
         189     -3.3502    -3.37286  0.00225589
         190    -3.37141    -3.37285  0.00224403
         191    -3.39167    -3.37295  0.00223445
         192    -3.40915    -3.37314  0.00223075
         193    -3.41952    -3.37338   0.0022321
         194    -3.42353    -3.37364  0.00223551
         195    -3.42202    -3.37389  0.00223777
         196    -3.41761    -3.37411  0.00223745
         197    -3.41229     -3.3743  0.00223447
         198    -3.40639    -3.37446  0.00222905
         199    -3.40026    -3.37459  0.00222162
         200    -3.39276    -3.37469  0.00221237
         201    -3.38535    -3.37474    0.002202
         202    -3.37743    -3.37475  0.00219113
         203    -3.36981    -3.37473  0.00218048
         204    -3.36391    -3.37467  0.00217043
         205    -3.35663    -3.37459  0.00216163
         206    -3.35032    -3.37447  0.00215434
         207    -3.34641    -3.37433  0.00214819
         208    -3.34716     -3.3742  0.00214183
         209    -3.35258     -3.3741  0.00213408
         210    -3.36396    -3.37405  0.00212447
         211    -3.37738    -3.37407  0.00211446
         212    -3.39043    -3.37414  0.00210589
         213    -3.40037    -3.37427   0.0020996
         214    -3.40551    -3.37441  0.00209486
         215    -3.40638    -3.37456  0.00209039
         216    -3.40527     -3.3747  0.00208554
         217    -3.40261    -3.37483  0.00207989
         218    -3.39699    -3.37493  0.00207283
         219    -3.39324    -3.37502  0.00206505
         220    -3.38997    -3.37509  0.00205678
         221    -3.38718    -3.37514   0.0020482
         222    -3.38423    -3.37518  0.00203938
         223    -3.38022     -3.3752  0.00203036
         224    -3.37556    -3.37521   0.0020213
         225    -3.37085    -3.37519  0.00201241
         226    -3.36661    -3.37515  0.00200386
         227    -3.36324     -3.3751  0.00199572
         228    -3.36266    -3.37504  0.00198771
         229    -3.36178    -3.37498  0.00197988
