#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         174     1.45477     1.64483    0.109521
         175     1.45813     1.64376      0.1089
         176     1.47203     1.64279    0.108286
         177      1.5043     1.64201    0.107677
         178      1.5506     1.64149    0.107073
         179     1.60981     1.64131    0.106475
         180     1.68575     1.64156    0.105884
         181     1.77673     1.64231    0.105302
         182     1.88658     1.64365    0.104732
         183     2.01345     1.64567    0.104179
         184      2.1623     1.64848    0.103651
         185     2.33223     1.65217    0.103156
         186     2.51622     1.65682    0.102706
         187     2.69465     1.66237    0.102307
         188     2.83722     1.66862    0.101953
         189     2.91848     1.67523    0.101628
         190     2.92697     1.68182    0.101306
         191     2.86807     1.68803    0.100966
         192     2.75251     1.69358    0.100593
         193     2.60354     1.69829    0.100182
         194       2.442     1.70212   0.0997387
         195     2.28733     1.70512   0.0992723
         196     2.14868     1.70739   0.0987916
         197     2.02901     1.70902   0.0983036
         198     1.93086     1.71014   0.0978135
         199     1.85677     1.71088   0.0973248
         200     1.81178     1.71138   0.0968395
         201     1.79523      1.7118   0.0963586
         202     1.80708     1.71227   0.0958827
         203     1.84332     1.71292   0.0954125
         204     1.89947     1.71383   0.0949492
         205     1.97942     1.71513   0.0944949
         206     2.07749     1.71689   0.0940525
         207     2.18521     1.71915   0.0936254
         208     2.28687     1.72188   0.0932151
         209      2.3661     1.72496     0.09282
         210     2.40491      1.7282   0.0924345
         211     2.39947     1.73138   0.0920511
         212      2.3529     1.73431   0.0916636
         213     2.27745     1.73686   0.0912687
         214     2.18867     1.73897   0.0908666
         215     2.09904     1.74065   0.0904594
         216     2.01555     1.74192   0.0900496
         217     1.94431     1.74285   0.0896394
         218     1.89052     1.74353   0.0892308
         219      1.8466       1.744   0.0888246
         220      1.8135     1.74432   0.0884214
         221     1.79008     1.74452   0.0880216
         222     1.77772     1.74467   0.0876252
         223     1.77984     1.74483   0.0872324
         224     1.79829     1.74507   0.0868433
         225     1.83329     1.74546   0.0864582
         226     1.88247     1.74607   0.0860778
         227     1.94104     1.74693   0.0857029
         228     2.00054     1.74804   0.0853342
         229       2.061     1.74941   0.0849725
         230      2.1177     1.75101   0.0846181
         231     2.16547      1.7528   0.0842708
         232     2.20518     1.75475   0.0839302
         233     2.23353     1.75681   0.0835951
         234     2.24496     1.75889   0.0832639
         235     2.23228     1.76091   0.0829339
         236     2.19569     1.76275    0.082603
         237     2.14367     1.76436   0.0822701
         238     2.09295     1.76574    0.081936
         239     2.05639     1.76695   0.0816022
         240     2.03981     1.76809   0.0812701
         241     2.04342     1.76923   0.0809409
         242     2.05764     1.77042   0.0806152
         243     2.07934     1.77169   0.0802935
         244     2.10001     1.77304   0.0799757
         245     2.11169     1.77442   0.0796612
         246     2.11216      1.7758   0.0793492
         247     2.10325     1.77712    0.079039
         248     2.08462     1.77836     0.07873
         249     2.06212      1.7795   0.0784221
         250     2.04129     1.78055   0.0781154
         251     2.02563     1.78152   0.0778103
         252     2.02003     1.78247   0.0775073
         253     2.03108     1.78345   0.0772071
         254     2.05542     1.78452   0.0769106
         255     2.09697     1.78575   0.0766188
         256     2.14678     1.78716   0.0763324
         257     2.20149     1.78877   0.0760525
         258     2.24729     1.79055   0.0757784
         259      2.2741     1.79242   0.0755089
         260     2.28162      1.7943   0.0752419
         261     2.26116     1.79609   0.0749748
         262     2.21795      1.7977    0.074706
         263     2.16409     1.79909   0.0744349
         264     2.10927     1.80026   0.0741622
         265     2.06388     1.80126    0.073889
         266      2.0339     1.80213   0.0736164
         267     2.01944     1.80295   0.0733452
         268     2.01004     1.80372   0.0730756
         269     1.99879     1.80445   0.0728076
         270      1.9789     1.80509   0.0725408
         271     1.94747     1.80562    0.072275
         272     1.90621     1.80599   0.0720102
         273     1.85365     1.80616   0.0717467
         274      1.7928     1.80611   0.0714848
         275     1.72675     1.80582   0.0712255
         276     1.65346     1.80527   0.0709695
         277     1.58006     1.80446    0.070718
         278     1.51165     1.80341   0.0704715
         279     1.45877     1.80217   0.0702297
         280     1.42755     1.80083   0.0699916
         281     1.42746      1.7995   0.0697551
         282      1.4576     1.79829   0.0695183
         283     1.52279     1.79732   0.0692795
         284     1.61792     1.79669   0.0690384
         285     1.73846     1.79648   0.0687965
         286     1.87195     1.79675   0.0685564
         287     1.99753     1.79745   0.0683211
         288     2.10525     1.79851   0.0680923
         289     2.18128     1.79984   0.0678695
         290     2.22644     1.80131   0.0676515
         291     2.23739     1.80281   0.0674356
         292     2.21705     1.80423   0.0672195
         293     2.16188     1.80545   0.0670012
         294     2.07775     1.80637   0.0667797
         295     1.97318     1.80694   0.0665557
         296     1.85976     1.80712   0.0663311
         297     1.75609     1.80695    0.066108
         298     1.66834     1.80648   0.0658878
         299     1.60748     1.80582   0.0656708
         300     1.57507     1.80505   0.0654564
         301     1.56409     1.80425   0.0652438
         302     1.57018     1.80347   0.0650324
         303     1.58839     1.80276   0.0648217
         304     1.61157     1.80213   0.0646115
         305     1.63618     1.80159   0.0644019
         306     1.66452     1.80114    0.064193
         307     1.69184     1.80078   0.0639849
