#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         169     1.75956     1.74884   0.0240031
         170     1.76614     1.74894   0.0238621
         171      1.7732     1.74909    0.023723
         172     1.78051     1.74927   0.0235858
         173     1.78754     1.74949   0.0234505
         174     1.79361     1.74974   0.0233171
         175     1.79797     1.75002   0.0231855
         176     1.79978      1.7503   0.0230554
         177     1.79819     1.75057   0.0229268
         178     1.79259     1.75081   0.0227992
         179     1.78264     1.75099   0.0226725
         180     1.76835     1.75108   0.0225468
         181     1.74983     1.75108   0.0224222
         182     1.72698     1.75094   0.0222994
         183     1.69931     1.75066   0.0221793
         184      1.6659      1.7502   0.0220636
         185      1.6258     1.74953   0.0219545
         186     1.57879     1.74861   0.0218557
         187      1.5267     1.74742    0.021771
         188     1.47473     1.74597   0.0217035
         189     1.43115     1.74431   0.0216525
         190     1.40415     1.74252   0.0216124
         191     1.39794     1.74071   0.0215744
         192     1.41207       1.739   0.0215298
         193     1.44302     1.73747   0.0214728
         194     1.48497     1.73617   0.0214015
         195     1.53079     1.73511   0.0213177
         196     1.57474     1.73429   0.0212246
         197     1.61405     1.73368   0.0211257
         198     1.64795     1.73325   0.0210234
         199     1.67596     1.73296   0.0209197
         200     1.69722     1.73278   0.0208159
         201     1.71084     1.73268   0.0207126
         202     1.71652      1.7326   0.0206102
         203     1.71482     1.73251   0.0205089
         204     1.70657     1.73238   0.0204087
         205     1.69208     1.73218   0.0203101
         206     1.67121     1.73189   0.0202137
         207     1.64447     1.73147   0.0201205
         208     1.61408      1.7309   0.0200316
         209     1.58432      1.7302   0.0199481
         210      1.5606     1.72939   0.0198694
         211     1.54765     1.72853   0.0197939
         212     1.54775     1.72768   0.0197189
         213     1.56008     1.72689    0.019642
         214     1.58131     1.72621    0.019562
         215     1.60716     1.72566   0.0194789
         216     1.63372     1.72523   0.0193933
         217     1.65821     1.72492   0.0193064
         218     1.67914     1.72471    0.019219
         219     1.69614     1.72458   0.0191317
         220     1.70961     1.72451   0.0190449
         221     1.72013     1.72449   0.0189587
         222       1.728     1.72451   0.0188733
         223     1.73283     1.72455   0.0187887
         224     1.73374     1.72459   0.0187049
         225      1.7298     1.72461   0.0186217
         226     1.72072     1.72459   0.0185394
         227     1.70719     1.72452   0.0184578
         228     1.69068     1.72437   0.0183775
         229      1.6729     1.72414   0.0182986
         230     1.65516     1.72385   0.0182215
         231      1.6383     1.72347   0.0181464
         232     1.62288     1.72304   0.0180733
         233     1.60954     1.72255   0.0180023
         234     1.59943     1.72203   0.0179331
         235     1.59425     1.72148    0.017865
         236     1.59576     1.72095   0.0177973
         237     1.60437     1.72046    0.017729
         238     1.61775     1.72003   0.0176597
         239     1.63149     1.71966   0.0175897
         240     1.64145     1.71933   0.0175195
         241      1.6457     1.71903   0.0174494
         242     1.64441     1.71872     0.01738
         243     1.63906     1.71839   0.0173116
         244     1.63179     1.71803   0.0172443
         245     1.62503     1.71766   0.0171781
         246     1.62079     1.71726   0.0171128
         247     1.62002     1.71687    0.017048
         248     1.62264     1.71649   0.0169835
         249     1.62793     1.71613    0.016919
         250     1.63482     1.71581   0.0168545
         251     1.64198     1.71551   0.0167899
         252     1.64783     1.71524   0.0167254
         253     1.65075     1.71499   0.0166613
         254     1.64935     1.71473   0.0165977
         255     1.64299     1.71445    0.016535
         256     1.63197     1.71413   0.0164735
         257     1.61765     1.71375   0.0164137
         258     1.60226     1.71332   0.0163558
         259     1.58859     1.71284   0.0162997
         260      1.5795     1.71233   0.0162451
         261     1.57717     1.71181   0.0161911
         262     1.58248     1.71131   0.0161368
         263     1.59446     1.71087   0.0160816
         264      1.6104     1.71049   0.0160251
         265      1.6266     1.71017   0.0159678
         266     1.63979     1.70991     0.01591
         267     1.64832     1.70968    0.015852
         268     1.65261     1.70946   0.0157943
         269     1.65461     1.70926   0.0157369
         270     1.65675     1.70907   0.0156798
         271     1.66097     1.70889    0.015623
         272      1.6682     1.70874   0.0155663
         273     1.67855     1.70863   0.0155096
         274      1.6917     1.70857   0.0154532
         275     1.70735     1.70856    0.015397
         276     1.72523     1.70862   0.0153413
         277     1.74497     1.70875   0.0152865
         278     1.76557     1.70896   0.0152329
         279     1.78517     1.70923   0.0151807
         280     1.80139     1.70956   0.0151301
         281     1.81178     1.70992   0.0150806
         282     1.81435     1.71029   0.0150317
         283     1.80779     1.71064   0.0149825
         284     1.79151     1.71092   0.0149324
         285     1.76583     1.71112   0.0148813
         286     1.73236     1.71119   0.0148294
         287     1.69444     1.71113   0.0147779
         288     1.65698     1.71094   0.0147278
         289      1.6249     1.71065   0.0146798
         290     1.60112     1.71027   0.0146341
         291     1.58623     1.70984     0.01459
         292     1.57995      1.7094   0.0145468
         293     1.58254     1.70896   0.0145036
         294     1.59457     1.70858   0.0144595
         295     1.61545     1.70826   0.0144139
         296     1.64269     1.70804   0.0143669
         297     1.67244     1.70792    0.014319
         298     1.70059     1.70789    0.014271
         299     1.72373     1.70795   0.0142234
         300     1.73969     1.70805   0.0141764
         301     1.74785     1.70819   0.0141299
         302     1.74912     1.70832   0.0140837
         303     1.74539     1.70844   0.0140378
         304     1.73873     1.70854    0.013992
         305     1.73066     1.70862   0.0139463
         306     1.72194     1.70866   0.0139008
         307     1.71305     1.70867   0.0138555
