#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      4.863603e-02      4.863603e-02      0.000000e+00
           2      4.855320e-02      4.859462e-02      2.928379e-05
           3      4.941736e-02      4.886887e-02      2.247717e-04
           4      4.942676e-02      4.900834e-02      2.073845e-04
           5      4.920896e-02      4.904846e-02      1.697447e-04
           6      4.886125e-02      4.901726e-02      1.442931e-04
           7      4.898214e-02      4.901224e-02      1.237670e-04
           8      4.865525e-02      4.896762e-02      1.160623e-04
           9      4.869445e-02      4.893727e-02      1.070616e-04
          10      4.875460e-02      4.891900e-02      9.790138e-05
          11      4.896047e-02      4.892277e-02      8.907381e-05
          12      4.881024e-02      4.891339e-02      8.214314e-05
          13      4.902167e-02      4.892172e-02      7.624550e-05
          14      4.870617e-02      4.890633e-02      7.233725e-05
          15      4.905324e-02      4.891612e-02      6.817456e-05
          16      4.924409e-02      4.893662e-02      6.692440e-05
          17      4.908810e-02      4.894553e-02      6.357808e-05
          18      4.892287e-02      4.894427e-02      6.005842e-05
          19      4.887065e-02      4.894039e-02      5.702231e-05
          20      4.904764e-02      4.894576e-02      5.442276e-05
