#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
          18      2.617461e+00      2.599139e+00      1.180560e-02
          19      2.613931e+00      2.599918e+00      1.120989e-02
          20      2.599024e+00      2.599873e+00      1.064949e-02
           1      3.719769e+00      3.719769e+00      0.000000e+00
           2      3.723742e+00      3.721755e+00      1.404423e-03
           3      3.628997e+00      3.690836e+00      2.526301e-02
           4      3.716009e+00      3.697129e+00      1.971556e-02
           5      3.600320e+00      3.677767e+00      2.342381e-02
           6      3.842182e+00      3.705170e+00      3.172956e-02
           7      3.830477e+00      3.723071e+00      3.184859e-02
           8      4.016975e+00      3.759809e+00      4.424448e-02
           9      3.734566e+00      3.757004e+00      3.941723e-02
          10      3.748938e+00      3.756198e+00      3.548376e-02
          11      3.929662e+00      3.771967e+00      3.558995e-02
          12      3.633852e+00      3.760457e+00      3.443493e-02
          13      3.649938e+00      3.751956e+00      3.281875e-02
          14      3.949905e+00      3.766095e+00      3.338166e-02
          15      3.784138e+00      3.767298e+00      3.117788e-02
          16      3.643443e+00      3.759557e+00      3.017494e-02
          17      3.693698e+00      3.755683e+00      2.864755e-02
          18      3.612157e+00      3.747709e+00      2.814384e-02
          19      3.782757e+00      3.749554e+00      2.672296e-02
          20      3.743551e+00      3.749254e+00      2.538850e-02
           1      6.308455e+00      6.308455e+00      0.000000e+00
           2      6.469229e+00      6.388842e+00      5.684239e-02
           3      5.948527e+00      6.242070e+00      1.256872e-01
           4      6.039305e+00      6.191379e+00      1.039864e-01
           5      6.221342e+00      6.197372e+00      8.336160e-02
           6      6.203702e+00      6.198427e+00      6.947467e-02
           7      5.656087e+00      6.120950e+00      9.322733e-02
           8      6.188233e+00      6.129360e+00      8.195240e-02
           9      5.914531e+00      6.105490e+00      7.624361e-02
          10      5.939084e+00      6.088849e+00      7.041180e-02
          11      6.002967e+00      6.081042e+00      6.444213e-02
          12      6.219484e+00      6.092579e+00      6.009578e-02
          13      6.111964e+00      6.094070e+00      5.549152e-02
          14      5.893422e+00      6.079738e+00      5.334654e-02
          15      6.002593e+00      6.074595e+00      5.003740e-02
          16      6.355673e+00      6.092162e+00      4.989868e-02
          17      6.021127e+00      6.087984e+00      4.713809e-02
          18      6.267415e+00      6.097952e+00      4.556113e-02
          19      6.025538e+00      6.094141e+00      4.332229e-02
          20      6.166735e+00      6.097771e+00      4.130795e-02
           1      1.190413e+01      1.190413e+01      0.000000e+00
           2      1.096687e+01      1.143550e+01      3.313738e-01
           3      1.213785e+01      1.166962e+01      2.921379e-01
           4      1.257181e+01      1.189517e+01      2.935305e-01
           5      1.227318e+01      1.197077e+01      2.443669e-01
           6      1.159748e+01      1.190855e+01      2.114108e-01
           7      1.173825e+01      1.188422e+01      1.826037e-01
           8      1.150728e+01      1.183711e+01      1.657460e-01
           9      1.149871e+01      1.179951e+01      1.515345e-01
          10      1.155400e+01      1.177496e+01      1.383555e-01
          11      1.179347e+01      1.177664e+01      1.257880e-01
          12      1.228310e+01      1.181884e+01      1.221811e-01
          13      1.133891e+01      1.178193e+01      1.182285e-01
          14      1.219356e+01      1.181133e+01      1.133807e-01
          15      1.126277e+01      1.177476e+01      1.115641e-01
          16      1.133900e+01      1.174752e+01      1.078643e-01
          17      1.177307e+01      1.174903e+01      1.015298e-01
          18      1.170842e+01      1.174677e+01      9.591433e-02
          19      1.147859e+01      1.173265e+01      9.189892e-02
          20      1.265846e+01      1.177895e+01      9.827331e-02
           1      3.263793e+01      3.263793e+01      0.000000e+00
           2      3.174191e+01      3.218992e+01      3.167899e-01
           3      3.316881e+01      3.251622e+01      3.399748e-01
           4      3.534750e+01      3.322404e+01      6.639083e-01
           5      3.121521e+01      3.282227e+01      6.412710e-01
           6      3.057792e+01      3.244821e+01      6.341728e-01
           7      2.976668e+01      3.206514e+01      6.490446e-01
           8      2.983148e+01      3.178593e+01      6.250907e-01
           9      3.112031e+01      3.171197e+01      5.599942e-01
          10      3.104411e+01      3.164519e+01      5.079617e-01
          11      2.944354e+01      3.144504e+01      4.996617e-01
          12      2.817390e+01      3.117244e+01      5.271629e-01
          13      3.245365e+01      3.127100e+01      4.957389e-01
          14      3.498193e+01      3.153606e+01      5.264452e-01
          15      2.906732e+01      3.137148e+01      5.164352e-01
          16      3.037161e+01      3.130899e+01      4.879243e-01
          17      2.797666e+01      3.111297e+01      4.970404e-01
          18      3.246186e+01      3.118791e+01      4.750426e-01
          19      3.202028e+01      3.123172e+01      4.520559e-01
          20      3.087075e+01      3.121367e+01      4.298133e-01
           1      9.293026e+01      9.293026e+01      0.000000e+00
           2      8.907810e+01      9.100418e+01      1.361947e+00
           3      8.602266e+01      8.934367e+01      1.631743e+00
           4      9.228902e+01      9.008001e+01      1.379981e+00
           5      8.781049e+01      8.962611e+01      1.176267e+00
           6      9.172483e+01      8.997589e+01      1.030920e+00
           7      9.172078e+01      9.022516e+01      9.132845e-01
           8      9.123934e+01      9.035193e+01      8.078747e-01
           9      8.935326e+01      9.024097e+01      7.256914e-01
          10      8.707848e+01      8.992472e+01      7.187356e-01
          11      9.020656e+01      8.995034e+01      6.538525e-01
          12      8.852719e+01      8.983175e+01      6.100255e-01
          13      8.777752e+01      8.967373e+01      5.832074e-01
          14      9.170166e+01      8.981858e+01      5.592490e-01
          15      9.372138e+01      9.007877e+01      5.793376e-01
          16      9.107699e+01      9.014116e+01      5.464780e-01
          17      9.325763e+01      9.032448e+01      5.442129e-01
          18      9.019162e+01      9.031710e+01      5.140289e-01
          19      8.780917e+01      9.018510e+01      5.036372e-01
          20      9.006441e+01      9.017907e+01      4.784915e-01
