#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
          18      3.013193e-01      2.972783e-01      9.138065e-04
          19      2.958729e-01      2.972043e-01      8.686996e-04
          20      2.922680e-01      2.969575e-01      8.596131e-04
           1      3.461507e-01      3.461507e-01      0.000000e+00
           2      3.530500e-01      3.496003e-01      2.439279e-03
           3      3.474587e-01      3.488865e-01      1.727496e-03
           4      3.506246e-01      3.493210e-01      1.349170e-03
           5      3.398009e-01      3.474170e-01      2.016237e-03
           6      3.447573e-01      3.469737e-01      1.728238e-03
           7      3.481894e-01      3.471474e-01      1.490047e-03
           8      3.421088e-01      3.465175e-01      1.430722e-03
           9      3.516613e-01      3.470891e-01      1.381197e-03
          10      3.534435e-01      3.477245e-01      1.381540e-03
          11      3.594678e-01      3.487921e-01      1.616633e-03
          12      3.551567e-01      3.493225e-01      1.566503e-03
          13      3.475711e-01      3.491878e-01      1.451784e-03
          14      3.521139e-01      3.493968e-01      1.363048e-03
          15      3.419789e-01      3.489022e-01      1.358929e-03
          16      3.507133e-01      3.490154e-01      1.278701e-03
          17      3.528684e-01      3.492421e-01      1.223404e-03
          18      3.537096e-01      3.494903e-01      1.180345e-03
          19      3.430296e-01      3.491502e-01      1.166172e-03
          20      3.523010e-01      3.493078e-01      1.118454e-03
           1      4.173463e-01      4.173463e-01      0.000000e+00
           2      4.125844e-01      4.149653e-01      1.683584e-03
           3      4.040411e-01      4.113239e-01      3.177985e-03
           4      4.096333e-01      4.109013e-01      2.411430e-03
           5      4.115749e-01      4.110360e-01      1.932904e-03
           6      4.188902e-01      4.123450e-01      2.005616e-03
           7      3.973989e-01      4.102099e-01      2.619725e-03
           8      4.092535e-01      4.100903e-01      2.294985e-03
           9      4.046183e-01      4.094823e-01      2.118994e-03
          10      4.060553e-01      4.091396e-01      1.934608e-03
          11      4.054267e-01      4.088021e-01      1.787937e-03
          12      4.054007e-01      4.085186e-01      1.661258e-03
          13      4.021342e-01      4.080275e-01      1.604421e-03
          14      4.140233e-01      4.084558e-01      1.545922e-03
          15      4.078671e-01      4.084166e-01      1.443359e-03
          16      4.028102e-01      4.080662e-01      1.395033e-03
          17      4.062409e-01      4.079588e-01      1.317098e-03
          18      4.047750e-01      4.077819e-01      1.255746e-03
          19      4.116107e-01      4.079834e-01      1.205715e-03
          20      3.962390e-01      4.073962e-01      1.280468e-03
           1      4.735082e-01      4.735082e-01      0.000000e+00
           2      4.671613e-01      4.703348e-01      2.243970e-03
           3      4.674195e-01      4.693630e-01      1.693369e-03
           4      4.808713e-01      4.722401e-01      2.796628e-03
           5      4.794944e-01      4.736909e-01      2.586413e-03
           6      4.651620e-01      4.722695e-01      2.515820e-03
           7      4.592487e-01      4.704094e-01      2.759681e-03
           8      4.642727e-01      4.696423e-01      2.519077e-03
           9      4.749299e-01      4.702298e-01      2.306674e-03
          10      4.737930e-01      4.705861e-01      2.103348e-03
          11      4.567818e-01      4.693312e-01      2.255648e-03
          12      4.675325e-01      4.691813e-01      2.072651e-03
