#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           4    0.247722    0.214181   0.0130878
           5    0.195136    0.210372   0.0110106
           6    0.184624     0.20608  0.00997672
           7    0.194974    0.204494  0.00867672
           8    0.211962    0.205427  0.00764218
           9    0.223124    0.207394  0.00704147
          10    0.154476    0.202102   0.0080848
          11    0.176298    0.199756   0.0076826
          12    0.234222    0.202628  0.00756023
          13    0.228262      0.2046  0.00723125
          14     0.21778    0.205541  0.00677574
          15     0.20755    0.205675  0.00632534
          16    0.181736    0.204179   0.0061044
          17    0.202772    0.204096  0.00574588
          18    0.178024    0.202648  0.00560626
          19    0.208796    0.202971  0.00532053
          20    0.223008    0.203973  0.00514796
           1    0.457502    0.457502           0
           2    0.430524    0.444013  0.00953816
           3    0.388392    0.425473   0.0164194
           4     0.48121    0.439407   0.0172416
           5    0.399502    0.431426    0.015531
           6     0.41104    0.428028   0.0133089
           7    0.356154    0.417761   0.0148493
           8    0.401798    0.415765   0.0131265
           9     0.38361    0.412192   0.0121445
          10    0.397346    0.410708   0.0110204
          11    0.362016    0.406281   0.0108713
          12     0.31563    0.398727   0.0123134
          13    0.463918    0.403742   0.0123452
          14    0.492008    0.410046   0.0129738
          15    0.439482    0.412009   0.0122564
          16    0.402756    0.411431    0.011504
          17    0.368686    0.408916   0.0110987
          18    0.494304     0.41366   0.0114511
          19    0.461262    0.416165   0.0111191
          20      0.4705    0.418882     0.01089
           1     0.90057     0.90057           0
           2    0.908744    0.904657  0.00288995
           3    0.865566    0.891627   0.0108123
           4    0.943534    0.904603   0.0138585
           5    0.854714    0.894626   0.0142325
           6    0.939272    0.902067   0.0136679
           7    0.936158    0.906937    0.012553
           8     0.87882    0.903422   0.0114654
           9    0.881896     0.90103   0.0104379
          10    0.897892    0.900717  0.00939886
          11    0.924508    0.902879  0.00878975
          12    0.868926     0.90005  0.00850049
          13    0.897592    0.899861  0.00784871
          14    0.888006    0.899014  0.00733362
          15    0.757452    0.889577   0.0114008
          16    0.937684    0.892583   0.0110776
          17    0.641344    0.877805   0.0177276
          18     0.91743    0.880006   0.0168788
          19    0.854808     0.87868   0.0160425
          20    0.903786    0.879935   0.0152894
