#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           4    0.198948    0.194385  0.00444909
           5    0.226088    0.200726  0.00669559
           6    0.160984    0.194102  0.00822756
           7     0.20257    0.195312  0.00714057
           8    0.247272    0.201807  0.00871492
           9    0.164322    0.197642    0.008685
          10    0.181386    0.196016  0.00796718
          11    0.209836    0.197273  0.00734128
          12    0.184558    0.196213  0.00680554
          13    0.166002    0.193889  0.00666702
          14    0.202856     0.19453  0.00622149
          15    0.197218    0.194709  0.00580931
          16    0.213792    0.195902  0.00556732
          17    0.192446    0.195698  0.00524354
          18    0.191248    0.195451  0.00495805
          19    0.215692    0.196516  0.00481019
          20    0.225956    0.197988  0.00478961
           1    0.345672    0.345672           0
           2     0.43551    0.390591   0.0317625
           3    0.478132    0.419771   0.0318754
           4    0.499158    0.439618   0.0294439
           5     0.37001    0.425696   0.0266438
           6    0.435426    0.427318   0.0222524
           7    0.450912    0.430689   0.0193271
           8    0.483528    0.437294   0.0180045
           9     0.46171    0.440006   0.0162071
          10    0.396402    0.435646   0.0151616
          11    0.394332     0.43189   0.0142409
          12    0.434808    0.432133   0.0130562
          13    0.406914    0.430193   0.0121952
          14     0.45838    0.432207   0.0114891
          15    0.450118    0.433401    0.010785
          16      0.4497     0.43442   0.0101589
          17    0.490662    0.437728   0.0100857
          18    0.386974    0.434908  0.00991169
          19    0.524162    0.439606    0.010444
          20    0.442868    0.439769  0.00992312
           1    0.882662    0.882662           0
           2    0.908086    0.895374  0.00898874
           3    0.903526    0.898091  0.00639004
           4    0.953248     0.91188   0.0128676
           5    0.729882    0.875481   0.0341455
           6     0.94863    0.887672   0.0305537
           7    0.885186    0.887317   0.0261909
           8    0.883298    0.886815   0.0229219
           9    0.802008    0.877392   0.0222276
          10    0.939072     0.88356   0.0208431
          11    0.954776    0.890034   0.0199284
          12    0.871172    0.888462   0.0183296
          13    0.805872    0.882109    0.017987
          14    0.925764    0.885227   0.0169703
          15     0.93313    0.888421   0.0161366
          16    0.817378    0.883981   0.0157271
          17    0.897936    0.884802   0.0148234
          18    0.873974      0.8842   0.0140121
          19    0.946592    0.887484    0.013654
          20     0.84622    0.885421   0.0131262
