#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          10     -5.838020e-01     -5.843829e-01      5.929751e-04
          11     -5.853586e-01     -5.844716e-01      5.456623e-04
          12     -5.833752e-01     -5.843802e-01      5.077830e-04
          13     -5.829322e-01     -5.842689e-01      4.807840e-04
          14     -5.829959e-01     -5.841779e-01      4.549588e-04
          15     -5.845924e-01     -5.842056e-01      4.254662e-04
          16     -5.851246e-01     -5.842630e-01      4.027332e-04
          17     -5.851112e-01     -5.843129e-01      3.821209e-04
          18     -5.850878e-01     -5.843559e-01      3.633091e-04
          19     -5.859773e-01     -5.844413e-01      3.540672e-04
          20     -5.838729e-01     -5.844129e-01      3.375026e-04
           1     -6.493603e-01     -6.493603e-01      0.000000e+00
           2     -6.480286e-01     -6.486945e-01      4.708058e-04
           3     -6.496037e-01     -6.489975e-01      3.996878e-04
           4     -6.492495e-01     -6.490605e-01      3.046885e-04
           5     -6.488790e-01     -6.490242e-01      2.459050e-04
           6     -6.503918e-01     -6.492521e-01      2.920389e-04
           7     -6.502372e-01     -6.493929e-01      2.821918e-04
           8     -6.503649e-01     -6.495144e-01      2.718217e-04
           9     -6.473293e-01     -6.492716e-01      3.328303e-04
          10     -6.471822e-01     -6.490626e-01      3.591908e-04
          11     -6.487505e-01     -6.490343e-01      3.276562e-04
          12     -6.464927e-01     -6.488225e-01      3.623950e-04
          13     -6.509200e-01     -6.489838e-01      3.686915e-04
          14     -6.493657e-01     -6.490111e-01      3.433641e-04
          15     -6.489995e-01     -6.490103e-01      3.204740e-04
          16     -6.476234e-01     -6.489236e-01      3.119472e-04
          17     -6.468782e-01     -6.488033e-01      3.159497e-04
          18     -6.465176e-01     -6.486763e-01      3.229077e-04
          19     -6.476306e-01     -6.486213e-01      3.105674e-04
          20     -6.471554e-01     -6.485480e-01      3.035653e-04
           1     -7.261538e-01     -7.261538e-01      0.000000e+00
           2     -7.271619e-01     -7.266579e-01      3.564242e-04
           3     -7.242106e-01     -7.258421e-01      7.071754e-04
           4     -7.237160e-01     -7.253106e-01      7.022842e-04
           5     -7.235707e-01     -7.249626e-01      6.422779e-04
           6     -7.240773e-01     -7.248150e-01      5.519201e-04
           7     -7.240442e-01     -7.247049e-01      4.839343e-04
           8     -7.226535e-01     -7.244485e-01      4.866605e-04
           9     -7.241657e-01     -7.244171e-01      4.336005e-04
          10     -7.240203e-01     -7.243774e-01      3.920514e-04
          11     -7.219036e-01     -7.241525e-01      4.159405e-04
          12     -7.247929e-01     -7.242059e-01      3.846868e-04
          13     -7.259744e-01     -7.243419e-01      3.783863e-04
          14     -7.262607e-01     -7.244790e-01      3.753602e-04
          15     -7.236048e-01     -7.244207e-01      3.548310e-04
          16     -7.269342e-01     -7.245778e-01      3.657808e-04
          17     -7.260730e-01     -7.246657e-01      3.546817e-04
          18     -7.272468e-01     -7.248091e-01      3.628074e-04
          19     -7.241024e-01     -7.247719e-01      3.456140e-04
          20     -7.285314e-01     -7.249599e-01      3.759929e-04
           1     -8.126454e-01     -8.126454e-01      0.000000e+00
           2     -8.085806e-01     -8.106130e-01      1.437138e-03
           3     -8.148540e-01     -8.120267e-01      1.500068e-03
           4     -8.148184e-01     -8.127246e-01      1.277139e-03
           5     -8.139627e-01     -8.129722e-01      1.045441e-03
           6     -8.114125e-01     -8.127123e-01      9.029432e-04
           7     -8.134635e-01     -8.128196e-01      7.803025e-04
           8     -8.132312e-01     -8.128710e-01      6.844592e-04
           9     -8.131825e-01     -8.129056e-01      6.092823e-04
          10     -8.106495e-01     -8.126800e-01      5.886452e-04
          11     -8.131780e-01     -8.127253e-01      5.368696e-04
          12     -8.121004e-01     -8.126732e-01      4.946493e-04
          13     -8.103572e-01     -8.124951e-01      4.876270e-04
          14     -8.163636e-01     -8.127714e-01      5.252858e-04
          15     -8.133590e-01     -8.128106e-01      4.917253e-04
          16     -8.109627e-01     -8.126951e-01      4.743612e-04
          17     -8.122594e-01     -8.126695e-01      4.471493e-04
          18     -8.093045e-01     -8.124825e-01      4.597281e-04
          19     -8.115919e-01     -8.124356e-01      4.379149e-04
          20     -8.140362e-01     -8.125157e-01      4.232682e-04
           1     -9.141500e-01     -9.141500e-01      0.000000e+00
           2     -9.127265e-01     -9.134383e-01      5.033045e-04
           3     -9.149718e-01     -9.139495e-01      5.355343e-04
           4     -9.189722e-01     -9.152051e-01      1.159261e-03
           5     -9.084820e-01     -9.138605e-01      1.518713e-03
           6     -9.085648e-01     -9.129779e-01      1.500303e-03
           7     -9.083991e-01     -9.123238e-01      1.421434e-03
           8     -9.116640e-01     -9.122413e-01      1.246145e-03
           9     -9.087802e-01     -9.118567e-01      1.165515e-03
          10     -9.112829e-01     -9.117994e-01      1.050375e-03
          11     -9.080683e-01     -9.114602e-01      1.008165e-03
          12     -9.024886e-01     -9.107125e-01      1.168943e-03
          13     -9.115584e-01     -9.107776e-01      1.080833e-03
          14     -9.159202e-01     -9.111449e-01      1.064221e-03
          15     -9.084456e-01     -9.109650e-01      1.008372e-03
          16     -9.116911e-01     -9.110104e-01      9.463697e-04
          17     -9.039737e-01     -9.105964e-01      9.770361e-04
          18     -9.133461e-01     -9.107492e-01      9.346217e-04
          19     -9.141452e-01     -9.109279e-01      9.023605e-04
          20     -9.104460e-01     -9.109038e-01      8.575642e-04
           1     -1.007163e+00     -1.007163e+00      0.000000e+00
           2     -1.002707e+00     -1.004935e+00      1.575618e-03
           3     -9.991473e-01     -1.003006e+00      1.893347e-03
           4     -1.007083e+00     -1.004025e+00      1.671978e-03
           5     -1.000418e+00     -1.003304e+00      1.485063e-03
           6     -1.006349e+00     -1.003811e+00      1.321465e-03
           7     -1.005787e+00     -1.004094e+00      1.162438e-03
           8     -1.003900e+00     -1.004069e+00      1.017384e-03
           9     -1.001946e+00     -1.003833e+00      9.312998e-04
          10     -9.990578e-01     -1.003356e+00      9.527806e-04
          11     -1.003582e+00     -1.003376e+00      8.663861e-04
          12     -1.000907e+00     -1.003171e+00      8.182722e-04
          13     -1.000776e+00     -1.002986e+00      7.757875e-04
          14     -1.005236e+00     -1.003147e+00      7.368284e-04
          15     -1.004989e+00     -1.003270e+00      6.978633e-04
          16     -1.004450e+00     -1.003344e+00      6.581306e-04
          17     -1.001567e+00     -1.003239e+00      6.276613e-04
          18     -1.003705e+00     -1.003265e+00      5.933236e-04
          19     -9.991282e-01     -1.003047e+00      6.007186e-04
          20     -1.003160e+00     -1.003053e+00      5.707089e-04
