#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -2.800000e-01     -2.800000e-01      0.000000e+00
           2     -1.200000e-01     -2.000000e-01      5.656854e-02
           3     -2.800000e-01     -2.266667e-01      4.354648e-02
           4     -2.800000e-01     -2.400000e-01      3.464102e-02
           5     -3.600000e-01     -2.640000e-01      3.505424e-02
           6     -1.200000e-01     -2.400000e-01      3.651484e-02
           7     -3.600000e-01     -2.571429e-01      3.509255e-02
           8     -3.600000e-01     -2.700000e-01      3.297726e-02
           9     -3.600000e-01     -2.800000e-01      3.079201e-02
          10     -2.000000e-01     -2.720000e-01      2.873326e-02
          11     -3.600000e-01     -2.800000e-01      2.721205e-02
          12     -3.600000e-01     -2.866667e-01      2.574807e-02
          13     -1.200000e-01     -2.738462e-01      2.676964e-02
          14     -3.600000e-01     -2.800000e-01      2.555506e-02
          15     -3.600000e-01     -2.853333e-01      2.440158e-02
          16     -3.600000e-01     -2.900000e-01      2.331845e-02
          17     -2.800000e-01     -2.894118e-01      2.195419e-02
          18     -4.400000e-01     -2.977778e-01      2.227155e-02
          19     -3.600000e-01     -3.010526e-01      2.133878e-02
          20     -2.000000e-01     -2.960000e-01      2.086145e-02
          21     -4.400000e-01     -3.028571e-01      2.096475e-02
          22     -6.800000e-01     -3.200000e-01      2.609582e-02
          23     -6.000000e-01     -3.321739e-01      2.765543e-02
          24     -5.200000e-01     -3.400000e-01      2.758824e-02
          25     -2.000000e-01     -3.344000e-01      2.704710e-02
          26     -3.600000e-01     -3.353846e-01      2.602474e-02
          27     -5.200000e-01     -3.422222e-01      2.594356e-02
          28     -2.800000e-01     -3.400000e-01      2.511199e-02
          29     -2.000000e-01     -3.351724e-01      2.470574e-02
          30     -6.000000e-01     -3.440000e-01      2.541041e-02
          31     -5.200000e-01     -3.496774e-01      2.521699e-02
          32     -2.800000e-01     -3.475000e-01      2.452279e-02
          33     -2.000000e-01     -3.430303e-01      2.418358e-02
          34     -3.600000e-01     -3.435294e-01      2.347745e-02
          35     -2.000000e-01     -3.394286e-01      2.316205e-02
          36     -3.600000e-01     -3.400000e-01      2.252571e-02
          37     -4.400000e-01     -3.427027e-01      2.207845e-02
          38     -3.600000e-01     -3.431579e-01      2.150213e-02
          39     -3.600000e-01     -3.435897e-01      2.095513e-02
          40     -4.400000e-01     -3.460000e-01      2.056939e-02
          41     -2.800000e-01     -3.443902e-01      2.013059e-02
          42     -2.800000e-01     -3.428571e-01      1.970959e-02
          43     -2.000000e-01     -3.395349e-01      1.952922e-02
          44     -6.000000e-01     -3.454545e-01      1.996240e-02
          45     -6.000000e-01     -3.511111e-01      2.030440e-02
          46     -6.000000e-01     -3.565217e-01      2.057128e-02
          47     -3.600000e-01     -3.565957e-01      2.013372e-02
          48     -3.600000e-01     -3.566667e-01      1.971440e-02
          49     -2.800000e-01     -3.551020e-01      1.937405e-02
          50     -3.600000e-01     -3.552000e-01      1.898682e-02
          51     -1.200000e-01     -3.505882e-01      1.916643e-02
          52     -5.200000e-01     -3.538462e-01      1.907272e-02
          53     -3.600000e-01     -3.539623e-01      1.871321e-02
          54     -5.200000e-01     -3.570370e-01      1.861757e-02
          55     -2.000000e-01     -3.541818e-01      1.849671e-02
          56     -3.600000e-01     -3.542857e-01      1.816670e-02
          57     -4.400000e-01     -3.557895e-01      1.791012e-02
          58     -3.600000e-01     -3.558621e-01      1.760147e-02
          59     -2.800000e-01     -3.545763e-01      1.735004e-02
          60     -6.000000e-01     -3.586667e-01      1.753642e-02
          61     -4.400000e-01     -3.600000e-01      1.729955e-02
          62     -4.400000e-01     -3.612903e-01      1.706858e-02
          63     -3.600000e-01     -3.612698e-01      1.679766e-02
          64     -3.600000e-01     -3.612500e-01      1.653521e-02
          65     -3.600000e-01     -3.612308e-01      1.628083e-02
          66     -3.600000e-01     -3.612121e-01      1.603416e-02
          67     -2.800000e-01     -3.600000e-01      1.584060e-02
          68     -2.000000e-01     -3.576471e-01      1.578143e-02
          69     -2.000000e-01     -3.553623e-01      1.571723e-02
          70     -5.200000e-01     -3.577143e-01      1.566769e-02
          71     -5.200000e-01     -3.600000e-01      1.561285e-02
          72     -2.000000e-01     -3.577778e-01      1.555335e-02
          73     -1.200000e-01     -3.545205e-01      1.567765e-02
          74     -4.400000e-01     -3.556757e-01      1.550829e-02
          75     -4.400000e-01     -3.568000e-01      1.534221e-02
          76     -5.200000e-01     -3.589474e-01      1.528988e-02
          77     -3.600000e-01     -3.589610e-01      1.509132e-02
          78     -4.400000e-01     -3.600000e-01      1.493356e-02
          79     -4.400000e-01     -3.610127e-01      1.477882e-02
          80     -2.800000e-01     -3.600000e-01      1.462874e-02
          81     -4.400000e-01     -3.609877e-01      1.448144e-02
          82     -1.200000e-01     -3.580488e-01      1.460000e-02
          83     -2.000000e-01     -3.561446e-01      1.454774e-02
          84     -5.200000e-01     -3.580952e-01      1.450475e-02
          85     -3.600000e-01     -3.581176e-01      1.433412e-02
          86     -2.000000e-01     -3.562791e-01      1.428487e-02
          87     -4.400000e-01     -3.572414e-01      1.415305e-02
          88     -4.400000e-01     -3.581818e-01      1.402343e-02
          89     -2.800000e-01     -3.573034e-01      1.389335e-02
          90     -2.800000e-01     -3.564444e-01      1.376551e-02
          91     -2.800000e-01     -3.556044e-01      1.363985e-02
          92     -2.800000e-01     -3.547826e-01      1.351632e-02
          93     -2.800000e-01     -3.539785e-01      1.339488e-02
          94     -4.400000e-01     -3.548936e-01      1.328360e-02
          95     -2.000000e-01     -3.532632e-01      1.324346e-02
          96     -3.600000e-01     -3.533333e-01      1.310570e-02
          97     -3.600000e-01     -3.534021e-01      1.297077e-02
          98     -3.600000e-01     -3.534694e-01      1.283859e-02
          99     -2.800000e-01     -3.527273e-01      1.273033e-02
         100     -1.200000e-01     -3.504000e-01      1.281399e-02
         101     -3.600000e-01     -3.504950e-01      1.268747e-02
         102     -3.600000e-01     -3.505882e-01      1.256343e-02
         103     -5.200000e-01     -3.522330e-01      1.254866e-02
         104     -3.600000e-01     -3.523077e-01      1.242822e-02
         105     -5.200000e-01     -3.539048e-01      1.241205e-02
         106     -5.200000e-01     -3.554717e-01      1.239346e-02
         107     -1.200000e-01     -3.532710e-01      1.247149e-02
         108     -2.000000e-01     -3.518519e-01      1.243650e-02
         109     -2.000000e-01     -3.504587e-01      1.240018e-02
         110     -4.000000e-02     -3.476364e-01      1.260456e-02
         111     -3.600000e-01     -3.477477e-01      1.249149e-02
         112     -3.600000e-01     -3.478571e-01      1.238044e-02
         113     -2.800000e-01     -3.472566e-01      1.228543e-02
         114     -2.000000e-01     -3.459649e-01      1.224539e-02
         115     -3.600000e-01     -3.460870e-01      1.213951e-02
         116     -5.200000e-01     -3.475862e-01      1.212709e-02
         117     -2.800000e-01     -3.470085e-01      1.203719e-02
         118     -4.400000e-01     -3.477966e-01      1.196095e-02
         119     -4.400000e-01     -3.485714e-01      1.188551e-02
         120     -2.800000e-01     -3.480000e-01      1.180019e-02
         121     -2.800000e-01     -3.474380e-01      1.171604e-02
         122     -2.800000e-01     -3.468852e-01      1.163304e-02
         123     -1.200000e-01     -3.450407e-01      1.168379e-02
         124     -3.600000e-01     -3.451613e-01      1.159019e-02
         125     -2.800000e-01     -3.446400e-01      1.150919e-02
         126     -2.800000e-01     -3.441270e-01      1.142927e-02
         127     -4.400000e-01     -3.448819e-01      1.136418e-02
         128     -4.400000e-01     -3.456250e-01      1.129967e-02
         129     -4.400000e-01     -3.463566e-01      1.123573e-02
         130     -3.600000e-01     -3.464615e-01      1.114979e-02
         131     -4.400000e-01     -3.471756e-01      1.108752e-02
         132     -5.200000e-01     -3.484848e-01      1.108056e-02
         133     -6.000000e-01     -3.503759e-01      1.115745e-02
         134     -4.400000e-01     -3.510448e-01      1.109422e-02
         135     -5.200000e-01     -3.522963e-01      1.108240e-02
         136     -5.200000e-01     -3.535294e-01      1.106931e-02
         137     -6.000000e-01     -3.553285e-01      1.113374e-02
         138     -4.400000e-01     -3.559420e-01      1.106996e-02
         139     -4.400000e-01     -3.565468e-01      1.100682e-02
         140     -2.000000e-01     -3.554286e-01      1.098486e-02
         141     -2.800000e-01     -3.548936e-01      1.091997e-02
         142     -2.800000e-01     -3.543662e-01      1.085580e-02
         143     -5.200000e-01     -3.555245e-01      1.084150e-02
         144     -3.600000e-01     -3.555556e-01      1.076625e-02
         145     -2.800000e-01     -3.550345e-01      1.070461e-02
         146     -2.800000e-01     -3.545205e-01      1.064362e-02
         147     -2.800000e-01     -3.540136e-01      1.058328e-02
         148     -4.400000e-01     -3.545946e-01      1.052770e-02
         149     -2.800000e-01     -3.540940e-01      1.046894e-02
         150     -4.400000e-01     -3.546667e-01      1.041480e-02
         151     -2.800000e-01     -3.541722e-01      1.035756e-02
         152     -5.200000e-01     -3.552632e-01      1.034672e-02
         153     -4.400000e-01     -3.558170e-01      1.029391e-02
         154     -3.600000e-01     -3.558442e-01      1.022710e-02
         155     -2.800000e-01     -3.553548e-01      1.017282e-02
         156     -5.200000e-01     -3.564103e-01      1.016221e-02
         157     -4.400000e-01     -3.569427e-01      1.011142e-02
         158     -2.800000e-01     -3.564557e-01      1.005914e-02
         159     -4.400000e-01     -3.569811e-01      1.000959e-02
         160     -4.400000e-01     -3.575000e-01      9.960469e-03
         161     -2.800000e-01     -3.570186e-01      9.910227e-03
         162     -2.800000e-01     -3.565432e-01      9.860450e-03
         163     -3.600000e-01     -3.565644e-01      9.799979e-03
         164     -2.800000e-01     -3.560976e-01      9.751337e-03
         165     -4.400000e-01     -3.566061e-01      9.705488e-03
