#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         118      3.200000e-02      6.714576e-01      9.473143e-02
         119      1.152000e+00      6.754958e-01      9.402140e-02
         120      1.568000e+00      6.829333e-01      9.353160e-02
         121      1.152000e+00      6.868099e-01      9.283891e-02
         122      5.120000e-01      6.853770e-01      9.208899e-02
         123      2.880000e-01      6.821463e-01      9.139695e-02
         124      1.280000e-01      6.776774e-01      9.076907e-02
         125      2.048000e+00      6.886400e-01      9.070250e-02
         126      1.280000e-01      6.841905e-01      9.009171e-02
         127      5.120000e-01      6.828346e-01      8.939253e-02
         128      8.000000e-01      6.837500e-01      8.869884e-02
         129      1.280000e-01      6.794419e-01      8.811581e-02
         130      1.280000e-01      6.752000e-01      8.754004e-02
         131      5.120000e-01      6.739542e-01      8.688066e-02
         132      2.880000e-01      6.710303e-01      8.627166e-02
         133      5.120000e-01      6.698346e-01      8.563129e-02
         134      3.200000e+00      6.887164e-01      8.704909e-02
         135      2.048000e+00      6.987852e-01      8.698465e-02
         136      1.152000e+00      7.021176e-01      8.640887e-02
         137      2.880000e-01      6.990949e-01      8.583100e-02
         138      2.880000e-01      6.961159e-01      8.526072e-02
         139      8.000000e-01      6.968633e-01      8.465061e-02
         140      2.880000e-01      6.939429e-01      8.409632e-02
         141      1.568000e+00      7.001418e-01      8.372806e-02
         142      1.152000e+00      7.033239e-01      8.319887e-02
         143      2.048000e+00      7.127273e-01      8.314675e-02
         144      8.000000e-01      7.133333e-01      8.257156e-02
         145      1.280000e-01      7.092966e-01      8.210071e-02
         146      3.200000e-02      7.046575e-01      8.166934e-02
         147      1.280000e-01      7.007347e-01      8.120792e-02
         148      8.000000e-01      7.014054e-01      8.066199e-02
         149      1.280000e-01      6.975570e-01      8.021238e-02
         150      1.152000e+00      7.005867e-01      7.973483e-02
         151      2.048000e+00      7.095099e-01      7.970453e-02
         152      1.568000e+00      7.151579e-01      7.938001e-02
         153      5.120000e-01      7.138301e-01      7.887229e-02
         154      8.000000e-01      7.143896e-01      7.836212e-02
         155      3.200000e-02      7.099871e-01      7.798013e-02
         156      1.280000e-01      7.062564e-01      7.756945e-02
         157      3.200000e-02      7.019618e-01      7.719417e-02
         158      2.880000e-01      6.993418e-01      7.675005e-02
         159      1.280000e-01      6.957484e-01      7.635142e-02
         160      1.280000e-01      6.922000e-01      7.595663e-02
         161      1.280000e-01      6.886957e-01      7.556565e-02
         162      3.200000e-02      6.846420e-01      7.520784e-02
         163      0.000000e+00      6.804417e-01      7.486364e-02
         164      3.200000e-02      6.764878e-01      7.451149e-02
         165      8.000000e-01      6.772364e-01      7.406367e-02
         166      5.120000e-01      6.762410e-01      7.362419e-02
         167      1.152000e+00      6.790898e-01      7.323843e-02
         168      5.120000e-01      6.780952e-01      7.280924e-02
         169      1.152000e+00      6.808994e-01      7.243239e-02
         170      3.872000e+00      6.996706e-01      7.439889e-02
         171      5.408000e+00      7.272047e-01      7.889447e-02
         172      2.592000e+00      7.380465e-01      7.917723e-02
         173      2.048000e+00      7.456185e-01      7.908080e-02
         174      3.200000e+00      7.597241e-01      7.987441e-02
         175      5.120000e-01      7.583086e-01      7.943053e-02
         176      1.280000e-01      7.547273e-01      7.905991e-02
         177      1.280000e-01      7.511864e-01      7.869250e-02
         178      1.152000e+00      7.534382e-01      7.828262e-02
         179      3.200000e-02      7.494078e-01      7.794897e-02
         180      0.000000e+00      7.452444e-01      7.762702e-02
         181      3.200000e-02      7.413039e-01      7.729810e-02
         182      2.880000e-01      7.388132e-01      7.691350e-02
         183      2.880000e-01      7.363497e-01      7.653265e-02
         184      8.000000e-01      7.366957e-01      7.611749e-02
         185      8.000000e-01      7.370378e-01      7.570682e-02
         186      1.280000e-01      7.337634e-01      7.537057e-02
         187      1.280000e-01      7.305241e-01      7.503710e-02
         188      3.200000e-02      7.268085e-01      7.472990e-02
         189      2.880000e-01      7.244868e-01      7.437056e-02
         190      2.880000e-01      7.221895e-01      7.401461e-02
         191      1.568000e+00      7.266178e-01      7.375945e-02
         192      5.120000e-01      7.255000e-01      7.338376e-02
         193      2.048000e+00      7.323523e-01      7.332276e-02
         194      5.120000e-01      7.312165e-01      7.295360e-02
         195      3.200000e-02      7.276308e-01      7.266755e-02
         196      1.152000e+00      7.297959e-01      7.232904e-02
         197      8.000000e-01      7.301523e-01      7.196277e-02
         198      0.000000e+00      7.264646e-01      7.169374e-02
         199      1.152000e+00      7.286030e-01      7.136535e-02
         200      3.200000e-02      7.251200e-01      7.109347e-02
         201      3.200000e-02      7.216716e-01      7.082335e-02
         202      5.120000e-01      7.206337e-01      7.048035e-02
         203      1.280000e-01      7.177143e-01      7.019359e-02
         204      1.280000e-01      7.148235e-01      6.990900e-02
         205      2.048000e+00      7.213268e-01      6.986982e-02
         206      1.568000e+00      7.254369e-01      6.965142e-02
         207      1.280000e-01      7.225507e-01      6.937471e-02
         208      8.000000e-01      7.229231e-01      6.904218e-02
         209      1.152000e+00      7.249761e-01      6.874235e-02
         210      1.280000e-01      7.221333e-01      6.847376e-02
         211      2.592000e+00      7.309953e-01      6.872031e-02
         212      1.152000e+00      7.329811e-01      6.842484e-02
         213      8.000000e-01      7.332958e-01      6.810432e-02
         214      1.280000e-01      7.304673e-01      6.784479e-02
         215      3.200000e-02      7.272186e-01      6.760697e-02
         216      1.280000e-01      7.244444e-01      6.735086e-02
         217      5.120000e-01      7.234654e-01      6.704761e-02
         218      1.568000e+00      7.273394e-01      6.685188e-02
         219      7.200000e+00      7.568950e-01      7.278731e-02
         220      8.192000e+00      7.906909e-01      7.991816e-02
         221      5.408000e+00      8.115837e-01      8.224218e-02
         222      3.872000e+00      8.253694e-01      8.301908e-02
         223      2.592000e+00      8.332915e-01      8.302392e-02
         224      1.036800e+01      8.758571e-01      9.292637e-02
         225      8.000000e-01      8.755200e-01      9.251398e-02
         226      3.200000e-02      8.717876e-01      9.217989e-02
         227      1.280000e-01      8.685110e-01      9.183202e-02
         228      2.880000e-01      8.659649e-01      9.146454e-02
         229      5.120000e-01      8.644192e-01      9.107819e-02
         230      8.000000e-01      8.641391e-01      9.068263e-02
         231      2.880000e-01      8.616450e-01      9.032436e-02
         232      2.880000e-01      8.591724e-01      8.996886e-02
         233      3.200000e-02      8.556223e-01      8.965275e-02
         234      8.000000e-01      8.553846e-01      8.926993e-02
         235      3.200000e-02      8.518809e-01      8.895879e-02
         236      3.200000e-02      8.484068e-01      8.864966e-02
         237      1.280000e-01      8.453671e-01      8.832771e-02
         238      1.280000e-01      8.423529e-01      8.800799e-02
         239      3.200000e-02      8.389623e-01      8.770505e-02
         240      1.280000e-01      8.360000e-01      8.738963e-02
         241      5.120000e-01      8.346556e-01      8.703735e-02
         242      3.200000e-02      8.313388e-01      8.674087e-02
         243      8.000000e-01      8.312099e-01      8.638401e-02
         244      1.568000e+00      8.342295e-01      8.608273e-02
         245      5.120000e-01      8.329143e-01      8.574142e-02
         246      5.120000e-01      8.316098e-01      8.540280e-02
         247      1.152000e+00      8.329069e-01      8.506689e-02
         248      6.272000e+00      8.548387e-01      8.750544e-02
         249      8.000000e-01      8.546185e-01      8.715429e-02
         250      5.120000e-01      8.532480e-01      8.681644e-02
         251      3.200000e-02      8.499761e-01      8.653220e-02
         252      1.280000e-01      8.471111e-01      8.623623e-02
         253      8.000000e-01      8.469249e-01      8.589558e-02
         254      0.000000e+00      8.435906e-01      8.562210e-02
         255      2.880000e-01      8.414118e-01      8.531404e-02
         256      1.568000e+00      8.442500e-01      8.502798e-02
         257      8.000000e-01      8.440778e-01      8.469731e-02
         258      1.280000e-01      8.413023e-01      8.441449e-02
         259      1.280000e-01      8.385483e-01      8.413348e-02
         260      0.000000e+00      8.353231e-01      8.387168e-02
         261      3.200000e-02      8.322452e-01      8.360679e-02
         262      3.200000e-02      8.291908e-01      8.334345e-02
         263      1.280000e-01      8.265247e-01      8.306919e-02
         264      1.568000e+00      8.293333e-01      8.280200e-02
         265      1.152000e+00      8.305509e-01      8.249849e-02
         266      5.120000e-01      8.293534e-01      8.219704e-02
         267      5.120000e-01      8.281648e-01      8.189778e-02
         268      0.000000e+00      8.250746e-01      8.165047e-02
         269      2.592000e+00      8.316431e-01      8.161071e-02
         270      8.000000e-01      8.315259e-01      8.130854e-02
         271      3.200000e-02      8.285756e-01      8.106201e-02
         272      5.120000e-01      8.274118e-01      8.077235e-02
         273      3.200000e-02      8.244982e-01      8.052901e-02
         274      1.280000e-01      8.219562e-01      8.027522e-02
