#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152     -5.4378     -5.4463  0.00495097
         153     -5.4458     -5.4463  0.00491861
         154    -5.46325    -5.44641  0.00488791
         155     -5.4795    -5.44662  0.00486103
         156    -5.48678    -5.44688  0.00483669
         157    -5.49408    -5.44718  0.00481521
         158    -5.49386    -5.44747  0.00479379
         159    -5.48402     -5.4477  0.00476915
         160    -5.46831    -5.44783  0.00474108
         161    -5.45311    -5.44787  0.00471175
         162    -5.43511    -5.44779  0.00468332
         163    -5.41717     -5.4476  0.00465836
         164    -5.39995    -5.44731    0.004639
         165    -5.39921    -5.44702  0.00462004
         166    -5.41576    -5.44683  0.00459604
         167    -5.45295    -5.44687  0.00456867
         168    -5.49067    -5.44713  0.00454891
         169    -5.51594    -5.44753  0.00454017
         170    -5.51587    -5.44794  0.00453123
         171     -5.4963    -5.44822  0.00451355
         172    -5.46324    -5.44831  0.00448815
         173    -5.43351    -5.44822  0.00446303
         174    -5.41574    -5.44803  0.00444128
         175    -5.41078    -5.44782    0.004421
         176    -5.42149    -5.44767  0.00439841
         177     -5.4443    -5.44765   0.0043736
         178    -5.47438     -5.4478  0.00435161
         179    -5.50472    -5.44812   0.0043389
         180    -5.51045    -5.44847  0.00432859
         181    -5.48801    -5.44868  0.00431018
         182    -5.44429    -5.44866  0.00428657
         183    -5.40176     -5.4484   0.0042708
         184    -5.38524    -5.44806  0.00426136
         185    -5.39681    -5.44778  0.00424733
         186    -5.43837    -5.44773  0.00422479
         187    -5.48906    -5.44795  0.00420798
         188     -5.5157    -5.44831    0.004201
         189    -5.51072    -5.44864  0.00419173
         190     -5.4827    -5.44882   0.0041735
         191     -5.4497    -5.44883  0.00415165
         192    -5.43744    -5.44877  0.00413045
         193    -5.44451    -5.44875  0.00410911
         194    -5.46173    -5.44881  0.00408847
         195    -5.47843    -5.44897  0.00407032
         196    -5.48589    -5.44915  0.00405391
         197    -5.48639    -5.44934  0.00403774
         198    -5.47398    -5.44947  0.00401926
         199    -5.45572     -5.4495  0.00399919
         200    -5.43728    -5.44944  0.00397966
         201    -5.42225     -5.4493  0.00396216
         202    -5.41316    -5.44912  0.00394658
         203    -5.40536    -5.44891  0.00393302
         204    -5.40418    -5.44869  0.00391985
         205    -5.41209    -5.44851   0.0039048
         206    -5.42842    -5.44841  0.00388706
         207    -5.44871    -5.44841  0.00386828
         208    -5.46259    -5.44848  0.00385028
         209    -5.47247     -5.4486  0.00383357
         210    -5.47791    -5.44874  0.00381786
         211    -5.48043    -5.44889  0.00380272
         212    -5.47457    -5.44901  0.00378671
         213    -5.46732    -5.44909  0.00376991
         214    -5.45476    -5.44912  0.00375238
         215    -5.44196    -5.44909  0.00373508
         216    -5.43158    -5.44901  0.00371867
         217    -5.43256    -5.44893   0.0037023
         218    -5.44776    -5.44893  0.00368532
         219    -5.46348    -5.44899  0.00366909
         220    -5.47266     -5.4491  0.00365399
         221    -5.47004    -5.44919  0.00363869
         222    -5.46445    -5.44926  0.00362295
         223    -5.46319    -5.44933  0.00360724
         224    -5.46879    -5.44941  0.00359218
         225    -5.47325    -5.44952  0.00357778
         226     -5.4687     -5.4496  0.00356295
         227    -5.46339    -5.44966  0.00354777
         228    -5.46054    -5.44971  0.00353254
         229    -5.46026    -5.44976  0.00351741
         230      -5.459     -5.4498  0.00350235
         231    -5.45769    -5.44983  0.00348735
         232    -5.45563    -5.44986  0.00347241
         233    -5.44683    -5.44984  0.00345753
         234    -5.43281    -5.44977  0.00344352
         235    -5.41469    -5.44962   0.0034321
         236    -5.40755    -5.44944  0.00342219
         237    -5.41426    -5.44929  0.00341096
         238    -5.42604     -5.4492  0.00339803
         239    -5.43512    -5.44914  0.00338432
         240    -5.43996     -5.4491  0.00337044
         241    -5.44168    -5.44907  0.00335659
         242    -5.44942    -5.44907  0.00334272
         243    -5.45805    -5.44911  0.00332917
         244    -5.46121    -5.44916   0.0033159
         245    -5.46622    -5.44923   0.0033031
         246     -5.4854    -5.44937  0.00329294
         247    -5.50161    -5.44959  0.00328639
         248    -5.50222     -5.4498  0.00327999
         249    -5.48469    -5.44994  0.00326981
         250    -5.45579    -5.44996  0.00325681
         251    -5.42735    -5.44987  0.00324508
         252    -5.40711     -5.4497  0.00323664
         253    -5.40378    -5.44952  0.00322893
         254    -5.42426    -5.44942  0.00321775
         255     -5.4533    -5.44944  0.00320517
         256    -5.48533    -5.44958  0.00319571
         257    -5.49658    -5.44976  0.00318851
         258    -5.49515    -5.44993    0.003181
         259    -5.47811    -5.45004  0.00317058
         260    -5.45298    -5.45005   0.0031584
         261    -5.42957    -5.44998  0.00314728
         262    -5.41802    -5.44985  0.00313763
         263    -5.42761    -5.44977  0.00312684
         264    -5.44512    -5.44975  0.00311504
         265    -5.46409    -5.44981  0.00310376
         266    -5.47555     -5.4499   0.0030936
         267    -5.48182    -5.45002  0.00308432
         268     -5.4799    -5.45013  0.00307482
         269    -5.47829    -5.45024  0.00306517
         270    -5.47244    -5.45032  0.00305492
         271    -5.46937    -5.45039  0.00304446
         272    -5.46974    -5.45046   0.0030341
         273    -5.46645    -5.45052  0.00302355
         274     -5.4596    -5.45055   0.0030127
         275    -5.43742    -5.45051  0.00300212
         276     -5.4066    -5.45035  0.00299545
         277    -5.37576    -5.45008  0.00299672
         278    -5.36325    -5.44977  0.00300217
         279    -5.38044    -5.44952  0.00300167
         280    -5.42045    -5.44941  0.00299275
         281    -5.47043    -5.44949  0.00298303
         282     -5.5039    -5.44968  0.00297869
         283    -5.51864    -5.44992  0.00297811
         284    -5.51341    -5.45015    0.002976
         285    -5.49403     -5.4503  0.00296954
         286    -5.46708    -5.45036  0.00295974
         287    -5.44251    -5.45033  0.00294955
         288    -5.42774    -5.45026  0.00294035
         289    -5.42196    -5.45016  0.00293181
         290    -5.42989    -5.45009  0.00292253
         291    -5.44632    -5.45007  0.00291252
         292    -5.46008    -5.45011  0.00290274
         293    -5.46425    -5.45016  0.00289324
         294    -5.45765    -5.45018  0.00288351
         295    -5.45055    -5.45018  0.00287374
         296    -5.44995    -5.45018  0.00286403
         297    -5.45867    -5.45021  0.00285453
         298    -5.47559     -5.4503  0.00284622
         299    -5.48717    -5.45042  0.00283937
         300    -5.48664    -5.45054  0.00283247
         301    -5.47771    -5.45063   0.0028245
         302    -5.45963    -5.45066   0.0028153
         303    -5.44213    -5.45063  0.00280615
         304    -5.42813    -5.45056   0.0027979
         305    -5.42091    -5.45046  0.00279041
         306    -5.42675    -5.45038  0.00278237
