#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         169     0.74888    0.798659  0.00960428
         170    0.789474    0.798605  0.00954794
         171    0.830312     0.79879   0.0094939
         172    0.857883    0.799134  0.00944492
         173    0.864352    0.799511  0.00939785
         174    0.849968    0.799801  0.00934831
         175    0.822215    0.799929  0.00929577
         176    0.791853    0.799883  0.00924306
         177     0.76857    0.799706  0.00919253
         178    0.760283    0.799485  0.00914356
         179    0.773331    0.799339  0.00909365
         180    0.805999    0.799376   0.0090432
         181    0.842746    0.799615  0.00899641
         182    0.862256    0.799959  0.00895356
         183    0.852251    0.800245  0.00890919
         184    0.815999    0.800331  0.00886119
         185    0.769209    0.800163  0.00881488
         186    0.733026    0.799802  0.00877488
         187    0.725009    0.799402  0.00873707
         188    0.748723    0.799132  0.00869475
         189    0.789982    0.799084  0.00864888
         190    0.826753    0.799229  0.00860459
         191    0.843814    0.799463   0.0085627
         192    0.840149    0.799675  0.00852072
         193    0.827211    0.799817  0.00847777
         194    0.819158    0.799917  0.00843466
         195    0.822403    0.800032  0.00839219
         196    0.835525    0.800213  0.00835133
         197    0.854389    0.800488  0.00831346
         198    0.872721    0.800853  0.00827947
         199    0.883026    0.801266  0.00824816
         200    0.881294    0.801666  0.00821662
         201    0.868593    0.801999  0.00818248
         202    0.848101    0.802227  0.00814516
         203    0.821937    0.802325  0.00810561
         204     0.79134    0.802271  0.00806606
         205    0.759677    0.802063  0.00802939
         206    0.732973    0.801728  0.00799741
         207    0.716574    0.801316  0.00796935
         208    0.712276    0.800888  0.00794252
         209     0.71853    0.800494  0.00791429
         210    0.732032    0.800168  0.00788332
         211    0.749213    0.799926  0.00784965
         212    0.766847     0.79977  0.00781418
         213    0.781895    0.799687  0.00777794
         214    0.791251    0.799647  0.00774169
         215    0.792138    0.799612  0.00770577
         216    0.783789    0.799539  0.00767044
         217    0.769663    0.799401  0.00763633
         218    0.757578    0.799209  0.00760371
         219    0.755245    0.799009  0.00757164
         220    0.764229    0.798851  0.00753887
         221    0.779449    0.798763  0.00750527
         222    0.794357    0.798743  0.00747149
         223    0.805656    0.798774  0.00743805
         224    0.815151    0.798847   0.0074052
