#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         174     9.52661     9.69277   0.0618727
         175     9.75433     9.69313   0.0615202
         176     9.91558     9.69439   0.0611836
         177     9.95617     9.69587   0.0608558
         178     9.83948     9.69668   0.0605193
         179     9.57784     9.69601   0.0601848
         180     9.30662     9.69385   0.0598893
         181     9.17197     9.69097   0.0596278
         182     9.26515     9.68863   0.0593461
         183     9.54903     9.68786   0.0590267
         184     9.88788     9.68895   0.0587159
         185     10.1418      9.6914   0.0584495
         186     10.1759       9.694   0.0581933
         187     9.97845     9.69552    0.057902
         188     9.68009     9.69544    0.057594
         189     9.43116     9.69404   0.0573063
         190     9.33217     9.69214   0.0570363
         191     9.38215     9.69052   0.0567608
         192     9.47397     9.68939   0.0564763
         193     9.51878      9.6885   0.0561906
         194     9.47471      9.6874   0.0559118
         195     9.35844     9.68571   0.0556505
         196      9.2131      9.6833   0.0554188
         197     9.07491     9.68022   0.0552235
         198     9.00903     9.67683   0.0550485
         199     9.03761     9.67361   0.0548655
         200     9.15335     9.67101   0.0546528
         201     9.33096     9.66932   0.0544071
         202       9.546     9.66871   0.0541412
         203     9.79406     9.66933    0.053878
         204       10.04     9.67114   0.0536445
         205     10.2383     9.67391   0.0534541
         206     10.3492     9.67719   0.0532951
         207     10.3615     9.68049     0.05314
         208     10.3016     9.68348   0.0529684
         209     10.1856     9.68588   0.0527694
         210     10.0425     9.68758   0.0525454
         211     9.89603     9.68857   0.0523057
         212     9.78267     9.68901   0.0520608
         213     9.71023     9.68911   0.0518165
         214     9.70682      9.6892   0.0515744
         215     9.76964     9.68957   0.0513359
         216     9.87614     9.69043   0.0511055
         217     9.96068     9.69168   0.0508852
         218     9.96251     9.69292   0.0506669
         219      9.8863      9.6938   0.0504433
         220     9.76749     9.69414   0.0502151
         221     9.66016     9.69399   0.0499881
         222     9.57702     9.69346   0.0497657
         223     9.50456     9.69261   0.0495497
         224     9.41892     9.69139   0.0493436
         225     9.33507     9.68981   0.0491497
         226     9.29139     9.68804   0.0489638
         227     9.27919     9.68624   0.0487813
         228     9.27438     9.68444   0.0486007
         229     9.25598     9.68256   0.0484245
         230     9.22679     9.68058   0.0482545
         231     9.19325     9.67847   0.0480917
         232     9.17339      9.6763   0.0479337
         233     9.20665     9.67428   0.0477703
         234     9.31868     9.67276   0.0475903
         235     9.51287     9.67208   0.0473927
         236     9.72349      9.6723   0.0471923
         237     9.89163     9.67322   0.0470023
         238     10.0017      9.6746   0.0468251
         239     10.0738     9.67627   0.0466589
         240     10.1366     9.67819   0.0465039
         241     10.1965     9.68034   0.0463607
         242     10.2105     9.68253   0.0462208
         243     10.1761     9.68456   0.0460752
         244     10.1213     9.68635   0.0459211
         245     10.0274     9.68775   0.0457548
         246     9.83691     9.68835   0.0455728
         247     9.57965     9.68791   0.0453904
         248     9.33755      9.6865   0.0452294
         249     9.20175     9.68455   0.0450896
         250     9.21834     9.68269   0.0449478
         251     9.37465     9.68146   0.0447855
         252     9.62025     9.68122   0.0446084
         253     9.86172     9.68193   0.0444378
         254     9.99093     9.68315   0.0442795
         255     9.97333     9.68429   0.0441205
         256     9.81332     9.68479    0.043951
         257     9.61209     9.68451   0.0437809
         258     9.42841     9.68351   0.0436225
         259      9.3408     9.68219   0.0434741
         260     9.37703     9.68102   0.0433227
         261     9.51508     9.68038   0.0431614
         262     9.68659     9.68041   0.0429967
         263     9.80169     9.68087   0.0428357
         264     9.83306     9.68144   0.0426773
         265     9.77938     9.68181   0.0425178
         266     9.67766      9.6818    0.042358
         267     9.54829      9.6813   0.0422023
         268     9.42191     9.68033   0.0420559
         269     9.30065     9.67892   0.0419233
         270     9.20351     9.67716    0.041805
         271     9.11061     9.67507   0.0417029
         272     9.01498     9.67264   0.0416202
         273     8.93952     9.66995   0.0415543
         274     8.91139     9.66719   0.0414947
         275     9.00577     9.66478   0.0414135
         276      9.2583     9.66331   0.0412896
         277     9.65573     9.66328   0.0411406
         278     10.0937     9.66483   0.0410217
         279     10.4301     9.66757   0.0409663
         280     10.5581     9.67075   0.0409432
         281     10.4484     9.67352   0.0408909
         282     10.1939     9.67536   0.0407875
         283      9.8887     9.67612   0.0406504
         284     9.62893     9.67595   0.0405076
         285     9.47327     9.67524   0.0403717
         286     9.44648     9.67444   0.0402385
         287     9.52973     9.67394   0.0401014
         288     9.67523     9.67394   0.0399622
         289     9.82931     9.67448   0.0398275
         290     9.92386     9.67534   0.0396995
         291     9.93336     9.67623   0.0395729
         292     9.88211     9.67693   0.0394437
