#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         153    -6.56235     -6.6464   0.0145136
         154    -6.57479    -6.64593   0.0144268
         155    -6.59828    -6.64563    0.014337
         156    -6.62558     -6.6455   0.0142457
         157    -6.66256    -6.64561   0.0141554
         158    -6.69746    -6.64593   0.0140696
         159    -6.72267    -6.64642   0.0139894
         160    -6.73428    -6.64697   0.0139127
         161    -6.73222     -6.6475   0.0138364
         162    -6.71152    -6.64789   0.0137566
         163    -6.67449    -6.64805   0.0136732
         164    -6.61935    -6.64788   0.0135909
         165    -6.56513    -6.64738   0.0135178
         166    -6.52831    -6.64666   0.0134554
         167    -6.53351    -6.64598   0.0133919
         168    -6.57482    -6.64556   0.0133188
         169    -6.63926    -6.64552   0.0132401
         170    -6.70008    -6.64584   0.0131661
         171    -6.74177     -6.6464    0.013101
         172    -6.75006    -6.64701   0.0130387
         173    -6.73004    -6.64749   0.0129722
         174    -6.69069    -6.64773      0.0129
         175     -6.6441    -6.64771   0.0128263
         176    -6.60927     -6.6475   0.0127553
         177    -6.59716    -6.64721   0.0126864
         178     -6.6148    -6.64703   0.0126164
         179    -6.66472    -6.64713   0.0125463
         180    -6.71945    -6.64753   0.0124831
         181    -6.75213    -6.64811   0.0124275
         182    -6.73768     -6.6486   0.0123689
         183    -6.68014    -6.64877   0.0123025
         184    -6.60924    -6.64856   0.0122376
         185    -6.55062    -6.64803   0.0121829
         186     -6.5379    -6.64744   0.0121317
         187    -6.57658    -6.64706   0.0120728
         188    -6.63879    -6.64701   0.0120086
         189     -6.6957    -6.64727   0.0119479
         190    -6.72283    -6.64767   0.0118916
         191    -6.71542    -6.64802   0.0118346
         192    -6.69766    -6.64828   0.0117758
         193    -6.68532    -6.64847   0.0117164
         194    -6.69046    -6.64869    0.011658
         195    -6.71204    -6.64901   0.0116027
         196    -6.73918    -6.64947   0.0115526
         197    -6.76797    -6.65008   0.0115096
         198    -6.78306    -6.65075   0.0114711
         199    -6.78026     -6.6514   0.0114319
         200    -6.75922    -6.65194   0.0113874
         201    -6.72514     -6.6523   0.0113366
         202    -6.68531    -6.65246   0.0112817
         203    -6.63826     -6.6524   0.0112263
         204    -6.59119    -6.65209   0.0111753
         205     -6.5516     -6.6516   0.0111315
         206    -6.52788      -6.651   0.0110937
         207    -6.52358    -6.65039   0.0110571
         208    -6.53101    -6.64981   0.0110189
         209    -6.55027    -6.64934   0.0109764
         210    -6.57596    -6.64899   0.0109297
         211    -6.60425    -6.64878     0.01088
         212    -6.62484    -6.64866   0.0108292
         213    -6.64016    -6.64862   0.0107785
         214    -6.64164    -6.64859   0.0107282
         215    -6.63016    -6.64851   0.0106786
         216    -6.60726    -6.64831   0.0106309
         217    -6.58706    -6.64803   0.0105856
         218    -6.58412    -6.64774   0.0105411
         219    -6.59634     -6.6475   0.0104956
         220    -6.61901    -6.64738   0.0104487
         221    -6.63921    -6.64734   0.0104015
         222    -6.65598    -6.64738   0.0103547
         223    -6.67167    -6.64749   0.0103088
         224    -6.69152    -6.64768   0.0102647
         225    -6.71292    -6.64797   0.0102232
         226    -6.72645    -6.64832   0.0101838
         227    -6.73383     -6.6487   0.0101459
         228     -6.7373    -6.64909   0.0101089
         229    -6.74179    -6.64949   0.0100728
         230    -6.74729    -6.64992    0.010038
         231    -6.75427    -6.65037   0.0100047
         232    -6.75967    -6.65084  0.00997268
         233    -6.75397    -6.65128  0.00993969
         234    -6.73252    -6.65163  0.00990328
         235    -6.69071    -6.65179  0.00986253
         236    -6.64506    -6.65177  0.00982078
         237    -6.60861    -6.65158  0.00978103
         238    -6.58457     -6.6513  0.00974399
         239    -6.57021    -6.65096  0.00970913
         240    -6.55974    -6.65058  0.00967611
         241    -6.54732    -6.65015  0.00964544
         242    -6.54219    -6.64971   0.0096159
         243    -6.54605    -6.64928  0.00958578
         244    -6.55347    -6.64889  0.00955453
         245    -6.56712    -6.64855  0.00952136
         246    -6.60273    -6.64837  0.00948448
         247    -6.65239    -6.64838   0.0094461
         248    -6.70286     -6.6486  0.00941056
         249    -6.73557    -6.64895  0.00937925
         250    -6.73784    -6.64931  0.00934847
         251    -6.71107    -6.64956  0.00931446
         252    -6.66327    -6.64961  0.00927766
         253     -6.6129    -6.64946  0.00924212
         254    -6.58492    -6.64921  0.00920923
         255    -6.58438    -6.64896  0.00917662
         256    -6.61718    -6.64883  0.00914161
